"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"BP: positive regulation of protein phosphorylation","BP","GO:0001934","positive regulation of protein phosphorylation",13,8,5,13,"mixed"
"BP: protein-DNA complex assembly","BP","GO:0065004","protein-DNA complex assembly",13,7,6,13,"mixed"
"BP: regulation of autophagy","BP","GO:0010506","regulation of autophagy",13,6,7,13,"mixed"
"BP: regulation of membrane potential","BP","GO:0042391","regulation of membrane potential",13,8,5,13,"mixed"
"BP: response to peptide hormone","BP","GO:0043434","response to peptide hormone",13,8,5,13,"mixed"
"BP: ribonucleoprotein complex biogenesis","BP","GO:0022613","ribonucleoprotein complex biogenesis",13,3,10,13,"mixed"
"BP: striated muscle cell differentiation","BP","GO:0051146","striated muscle cell differentiation",13,8,5,13,"mixed"
"BP: synaptic vesicle cycle","BP","GO:0099504","synaptic vesicle cycle",13,8,5,13,"mixed"
"BP: tissue remodeling","BP","GO:0048771","tissue remodeling",13,7,6,13,"mixed"
"CC: actomyosin","CC","GO:0042641","actomyosin",13,10,3,13,"mixed"
"CC: asymmetric synapse","CC","GO:0032279","asymmetric synapse",13,8,5,13,"mixed"
"CC: cell-cell junction","CC","GO:0005911","cell-cell junction",13,9,4,13,"mixed"
"CC: coated vesicle membrane","CC","GO:0030662","coated vesicle membrane",13,6,7,13,"mixed"
"CC: cytosolic small ribosomal subunit","CC","GO:0022627","cytosolic small ribosomal subunit",13,6,7,13,"mixed"
"CC: endoplasmic reticulum lumen","CC","GO:0005788","endoplasmic reticulum lumen",13,8,5,13,"mixed"
"CC: external side of plasma membrane","CC","GO:0009897","external side of plasma membrane",13,8,5,13,"mixed"
"CC: kinetochore","CC","GO:0000776","kinetochore",13,5,8,13,"mixed"
"CC: neuron to neuron synapse","CC","GO:0098984","neuron to neuron synapse",13,8,5,13,"mixed"
"CC: postsynaptic density","CC","GO:0014069","postsynaptic density",13,8,5,13,"mixed"
"CC: receptor complex","CC","GO:0043235","receptor complex",13,7,6,13,"mixed"
"MF: extracellular matrix structural constituent","MF","GO:0005201","extracellular matrix structural constituent",13,8,5,13,"mixed"
"MF: microtubule binding","MF","GO:0008017","microtubule binding",13,8,5,13,"mixed"
"MF: signaling receptor activator activity","MF","GO:0030546","signaling receptor activator activity",13,9,4,13,"mixed"
"BP: actomyosin structure organization","BP","GO:0031032","actomyosin structure organization",12,8,4,12,"mixed"
"BP: cell cycle checkpoint signaling","BP","GO:0000075","cell cycle checkpoint signaling",12,5,7,12,"mixed"
"BP: cell junction assembly","BP","GO:0034329","cell junction assembly",12,10,2,12,"mixed"
"BP: cellular response to insulin stimulus","BP","GO:0032869","cellular response to insulin stimulus",12,7,5,12,"mixed"
"BP: chromosome segregation","BP","GO:0007059","chromosome segregation",12,5,7,12,"mixed"
"BP: double-strand break repair","BP","GO:0006302","double-strand break repair",12,4,8,12,"mixed"
"BP: establishment of organelle localization","BP","GO:0051656","establishment of organelle localization",12,7,5,12,"mixed"
"BP: establishment of protein localization to organelle","BP","GO:0072594","establishment of protein localization to organelle",12,5,7,12,"mixed"
"BP: extrinsic apoptotic signaling pathway","BP","GO:0097191","extrinsic apoptotic signaling pathway",12,7,5,12,"mixed"
"BP: heart contraction","BP","GO:0060047","heart contraction",12,8,4,12,"mixed"
"BP: leukocyte chemotaxis","BP","GO:0030595","leukocyte chemotaxis",12,7,5,12,"mixed"
"BP: leukocyte proliferation","BP","GO:0070661","leukocyte proliferation",12,6,6,12,"mixed"
"BP: mitotic cell cycle checkpoint signaling","BP","GO:0007093","mitotic cell cycle checkpoint signaling",12,5,7,12,"mixed"
"BP: mitotic cell cycle phase transition","BP","GO:0044772","mitotic cell cycle phase transition",12,5,7,12,"mixed"
"BP: mononuclear cell migration","BP","GO:0071674","mononuclear cell migration",12,8,4,12,"mixed"
"BP: muscle organ development","BP","GO:0007517","muscle organ development",12,7,5,12,"mixed"
"BP: negative regulation of cell cycle phase transition","BP","GO:1901988","negative regulation of cell cycle phase transition",12,5,7,12,"mixed"
"BP: negative regulation of cell cycle process","BP","GO:0010948","negative regulation of cell cycle process",12,5,7,12,"mixed"
"BP: nucleosome organization","BP","GO:0034728","nucleosome organization",12,7,5,12,"mixed"
"BP: ossification","BP","GO:0001503","ossification",12,6,6,12,"mixed"
"BP: positive regulation of cell-cell adhesion","BP","GO:0022409","positive regulation of cell-cell adhesion",12,7,5,12,"mixed"
"BP: regulation of DNA metabolic process","BP","GO:0051052","regulation of DNA metabolic process",12,4,8,12,"mixed"
"BP: regulation of angiogenesis","BP","GO:0045765","regulation of angiogenesis",12,7,5,12,"mixed"
"BP: regulation of apoptotic signaling pathway","BP","GO:2001233","regulation of apoptotic signaling pathway",12,6,6,12,"mixed"
"BP: regulation of body fluid levels","BP","GO:0050878","regulation of body fluid levels",12,7,5,12,"mixed"
"BP: regulation of cell cycle phase transition","BP","GO:1901987","regulation of cell cycle phase transition",12,5,7,12,"mixed"
"BP: regulation of cellular response to growth factor stimulus","BP","GO:0090287","regulation of cellular response to growth factor stimulus",12,6,6,12,"mixed"
"BP: regulation of immune effector process","BP","GO:0002697","regulation of immune effector process",12,7,5,12,"mixed"
"BP: regulation of mitotic cell cycle","BP","GO:0007346","regulation of mitotic cell cycle",12,5,7,12,"mixed"
"BP: regulation of mitotic cell cycle phase transition","BP","GO:1901990","regulation of mitotic cell cycle phase transition",12,5,7,12,"mixed"
"BP: regulation of monoatomic ion transport","BP","GO:0043269","regulation of monoatomic ion transport",12,8,4,12,"mixed"
"BP: regulation of neuron projection development","BP","GO:0010975","regulation of neuron projection development",12,8,4,12,"mixed"
"BP: regulation of protein catabolic process","BP","GO:0042176","regulation of protein catabolic process",12,6,6,12,"mixed"
"BP: regulation of vasculature development","BP","GO:1901342","regulation of vasculature development",12,7,5,12,"mixed"
"BP: response to transforming growth factor beta","BP","GO:0071559","response to transforming growth factor beta",12,5,7,12,"mixed"
"BP: vacuolar transport","BP","GO:0007034","vacuolar transport",12,5,7,12,"mixed"
"BP: viral life cycle","BP","GO:0019058","viral life cycle",12,6,6,12,"mixed"
"BP: wound healing","BP","GO:0042060","wound healing",12,8,4,12,"mixed"
"CC: apical part of cell","CC","GO:0045177","apical part of cell",12,7,5,12,"mixed"
"CC: coated vesicle","CC","GO:0030135","coated vesicle",12,7,5,12,"mixed"
"CC: condensed chromosome","CC","GO:0000793","condensed chromosome",12,4,8,12,"mixed"
"CC: condensed chromosome, centromeric region","CC","GO:0000779","condensed chromosome, centromeric region",12,4,8,12,"mixed"
"CC: cytoplasmic vesicle lumen","CC","GO:0060205","cytoplasmic vesicle lumen",12,8,4,12,"mixed"
"CC: endocytic vesicle membrane","CC","GO:0030666","endocytic vesicle membrane",12,7,5,12,"mixed"
"CC: nuclear chromosome","CC","GO:0000228","nuclear chromosome",12,4,8,12,"mixed"
"CC: respiratory chain complex","CC","GO:0098803","respiratory chain complex",12,6,6,12,"mixed"
"CC: secretory granule lumen","CC","GO:0034774","secretory granule lumen",12,8,4,12,"mixed"
"CC: small ribosomal subunit","CC","GO:0015935","small ribosomal subunit",12,5,7,12,"mixed"
"CC: transporter complex","CC","GO:1990351","transporter complex",12,6,6,12,"mixed"
"MF: GTP binding","MF","GO:0005525","GTP binding",12,7,5,12,"mixed"
"MF: glycosaminoglycan binding","MF","GO:0005539","glycosaminoglycan binding",12,8,4,12,"mixed"
"MF: heparin binding","MF","GO:0008201","heparin binding",12,8,4,12,"mixed"
"MF: integrin binding","MF","GO:0005178","integrin binding",12,7,5,12,"mixed"
"MF: peptidase regulator activity","MF","GO:0061134","peptidase regulator activity",12,9,3,12,"mixed"
"MF: protein heterodimerization activity","MF","GO:0046982","protein heterodimerization activity",12,6,6,12,"mixed"
