"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Maddock_LMN_FA2_batchcorrection_0.05_all_genes.rds","Wang_0.05_all_genes.rds","Erwin_batchcorrection_0.05_all_genes.rds","Li_FRDA_CTRL_0.05_all_genes.rds","Li_FRDA_IC_0.05_all_genes.rds","Chutake_0.05_all_genes.rds","up_count","down_count","sig_count","consensus"
"CC: ribosome",-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,1,1,0,-1,1,1,1,-1,8,12,20,"mixed"
"CC: contractile muscle fiber",1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,13,6,19,"mixed"
"CC: myofibril",1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,13,6,19,"mixed"
"BP: cytoplasmic translation",-1,-1,1,0,-1,-1,-1,0,-1,0,-1,-1,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: cytosolic ribosome",-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: large ribosomal subunit",-1,-1,1,0,-1,-1,-1,0,-1,0,-1,-1,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: ribosomal subunit",-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: chromosome, centromeric region",1,-1,-1,-1,1,-1,-1,0,0,-1,1,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,8,11,19,"mixed"
"CC: chromosomal region",0,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,7,12,19,"mixed"
"BP: positive regulation of cell adhesion",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,12,6,18,"mixed"
"CC: cell-substrate junction",0,1,0,-1,0,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,0,1,1,0,12,6,18,"mixed"
"CC: focal adhesion",0,1,0,-1,0,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,0,1,1,0,12,6,18,"mixed"
"BP: muscle cell differentiation",0,1,0,-1,-1,-1,1,0,0,1,1,1,1,-1,-1,1,-1,1,1,0,-1,-1,1,10,8,18,"mixed"
"BP: muscle system process",0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,0,9,9,18,"mixed"
"BP: muscle tissue development",0,1,1,-1,-1,-1,-1,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,-1,-1,1,9,9,18,"mixed"
"BP: striated muscle tissue development",0,1,1,-1,-1,-1,-1,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,-1,-1,1,9,9,18,"mixed"
"CC: transmembrane transporter complex",-1,1,1,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,-1,0,0,1,-1,0,-1,9,9,18,"mixed"
"MF: structural constituent of ribosome",-1,-1,1,0,-1,-1,-1,0,-1,0,-1,0,1,1,1,1,1,0,-1,1,1,1,-1,9,9,18,"mixed"
"CC: cytosolic large ribosomal subunit",-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,-1,0,1,1,-1,8,10,18,"mixed"
"CC: cell leading edge",1,1,1,-1,0,0,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,0,1,0,0,13,4,17,"mixed"
"BP: small GTPase-mediated signal transduction",0,1,0,-1,1,1,1,1,-1,1,1,1,1,-1,-1,0,-1,0,1,0,1,1,0,12,5,17,"mixed"
"BP: regulation of cell-cell adhesion",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,-1,0,1,0,-1,1,1,1,11,6,17,"mixed"
"CC: sarcomere",1,1,1,-1,-1,0,0,1,1,1,1,1,1,-1,-1,0,-1,1,1,0,0,-1,0,11,6,17,"mixed"
"BP: modulation of chemical synaptic transmission",0,1,1,1,-1,1,1,1,0,-1,0,-1,-1,1,1,1,-1,-1,1,0,-1,0,0,10,7,17,"mixed"
"BP: regulation of trans-synaptic signaling",0,1,1,1,-1,1,1,1,0,-1,0,-1,-1,1,1,1,-1,-1,1,0,-1,0,0,10,7,17,"mixed"
"BP: striated muscle cell differentiation",0,1,0,-1,0,-1,1,0,1,1,1,1,1,-1,-1,0,-1,1,1,0,-1,-1,1,10,7,17,"mixed"
"CC: I band",1,1,1,-1,-1,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,-1,-1,0,10,7,17,"mixed"
"CC: synaptic membrane",0,1,1,1,0,-1,1,1,1,-1,1,-1,-1,1,1,0,-1,-1,1,0,-1,0,0,10,7,17,"mixed"
"CC: collagen-containing extracellular matrix",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,1,-1,1,-1,0,-1,-1,0,9,8,17,"mixed"
"BP: membraneless organelle assembly",1,-1,-1,-1,1,-1,-1,0,0,1,1,-1,1,0,-1,0,1,1,1,0,-1,-1,0,8,9,17,"mixed"
"BP: protein-DNA complex assembly",0,-1,0,0,0,-1,-1,1,-1,-1,1,-1,1,1,0,1,1,0,1,1,-1,-1,-1,8,9,17,"mixed"
"BP: chromosome segregation",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,1,-1,-1,-1,7,10,17,"mixed"
"BP: mitotic cell cycle phase transition",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,1,-1,-1,-1,7,10,17,"mixed"
"BP: ribonucleoprotein complex biogenesis",1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,0,0,1,1,1,-1,6,11,17,"mixed"
"CC: condensed chromosome",0,-1,-1,-1,1,-1,-1,0,0,-1,0,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,6,11,17,"mixed"
"CC: nuclear chromosome",0,-1,-1,0,1,-1,-1,0,-1,-1,0,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,6,11,17,"mixed"
"CC: actin filament bundle",1,1,1,-1,0,0,1,1,0,1,1,1,1,-1,-1,0,-1,1,1,0,0,0,1,12,4,16,"mixed"
"MF: actin binding",1,1,0,-1,0,0,1,1,1,1,1,1,1,-1,-1,0,-1,1,1,0,0,0,1,12,4,16,"mixed"
"BP: cell-cell adhesion via plasma-membrane adhesion molecules",0,0,1,1,1,1,1,0,-1,1,1,1,1,-1,-1,0,-1,0,1,0,-1,0,1,11,5,16,"mixed"
"BP: leukocyte migration",0,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,1,1,11,5,16,"mixed"
"BP: regulation of neuron projection development",1,1,0,1,0,-1,1,1,0,-1,0,1,0,1,-1,1,-1,-1,1,0,-1,0,1,10,6,16,"mixed"
"BP: morphogenesis of an epithelium",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,0,-1,-1,0,9,7,16,"mixed"
"BP: muscle contraction",0,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,-1,0,-1,1,0,0,-1,-1,0,9,7,16,"mixed"
"MF: microtubule binding",1,0,-1,1,1,-1,-1,1,0,0,1,-1,1,1,-1,0,1,0,1,0,-1,-1,0,9,7,16,"mixed"
"BP: blood circulation",0,1,1,-1,-1,-1,1,1,1,0,0,1,1,0,-1,0,-1,1,-1,0,-1,-1,0,8,8,16,"mixed"
"BP: external encapsulating structure organization",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,1,8,8,16,"mixed"
"BP: extracellular matrix organization",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,1,8,8,16,"mixed"
"BP: extracellular structure organization",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,1,8,8,16,"mixed"
"CC: endoplasmic reticulum lumen",0,1,-1,-1,1,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,-1,8,8,16,"mixed"
"MF: extracellular matrix structural constituent",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,-1,0,-1,-1,0,8,8,16,"mixed"
"BP: positive regulation of cell cycle process",1,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,1,-1,-1,-1,7,9,16,"mixed"
"BP: regulation of cell cycle phase transition",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,1,-1,-1,0,7,9,16,"mixed"
"BP: DNA replication",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,1,-1,-1,-1,6,10,16,"mixed"
"BP: double-strand break repair",0,-1,-1,0,1,-1,-1,0,-1,-1,0,-1,1,1,-1,0,1,0,1,1,-1,-1,0,6,10,16,"mixed"
"BP: negative regulation of cell cycle process",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,6,10,16,"mixed"
"CC: kinetochore",0,-1,-1,-1,1,-1,-1,0,0,-1,1,-1,1,1,-1,0,1,0,1,0,-1,-1,0,6,10,16,"mixed"
"CC: nuclear envelope",0,0,-1,-1,0,-1,-1,1,0,1,-1,-1,1,0,-1,0,-1,0,1,1,1,-1,-1,6,10,16,"mixed"
"BP: actin filament organization",1,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,1,1,1,11,4,15,"mixed"
"BP: cell junction assembly",1,1,1,1,0,0,1,0,0,0,0,1,1,1,-1,1,-1,0,1,0,-1,-1,1,11,4,15,"mixed"
"CC: adherens junction",0,1,0,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,0,0,0,0,11,4,15,"mixed"
"CC: cell-cell junction",1,1,1,-1,0,0,1,0,0,0,0,1,1,-1,-1,1,-1,1,1,1,0,0,1,11,4,15,"mixed"
"CC: contractile actin filament bundle",1,1,1,-1,0,0,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,11,4,15,"mixed"
"CC: stress fiber",1,1,1,-1,0,0,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,11,4,15,"mixed"
"BP: actomyosin structure organization",0,1,0,-1,0,1,1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,0,-1,1,10,5,15,"mixed"
"BP: chemotaxis",0,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,10,5,15,"mixed"
"BP: positive regulation of cell-cell adhesion",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,1,0,-1,1,1,1,10,5,15,"mixed"
"BP: taxis",0,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,10,5,15,"mixed"
"CC: external side of plasma membrane",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,1,1,-1,0,0,1,10,5,15,"mixed"
"MF: receptor ligand activity",0,1,1,-1,0,-1,1,0,1,1,1,1,1,0,-1,0,0,1,-1,0,-1,0,1,10,5,15,"mixed"
"BP: macroautophagy",0,1,-1,1,0,1,1,0,-1,1,-1,-1,0,-1,0,1,-1,0,0,0,1,1,1,9,6,15,"mixed"
"BP: positive regulation of cell development",0,0,0,-1,0,-1,1,0,-1,1,1,1,1,1,-1,0,-1,1,1,-1,0,0,1,9,6,15,"mixed"
"BP: vesicle-mediated transport in synapse",0,1,0,1,0,1,1,1,0,-1,-1,-1,-1,1,1,1,-1,-1,1,0,0,0,0,9,6,15,"mixed"
"MF: signaling receptor activator activity",0,1,1,-1,0,-1,1,0,1,1,1,1,1,0,-1,0,-1,1,-1,0,-1,0,0,9,6,15,"mixed"
"BP: epithelial cell proliferation",0,0,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,-1,-1,1,8,7,15,"mixed"
"BP: regulation of membrane potential",0,1,1,1,-1,-1,1,1,0,-1,1,0,-1,1,0,0,-1,1,0,0,-1,-1,0,8,7,15,"mixed"
"CC: early endosome",0,1,-1,-1,0,1,1,1,0,1,-1,0,0,-1,-1,0,-1,-1,1,0,1,0,1,8,7,15,"mixed"
"CC: microtubule",1,0,-1,1,1,0,-1,1,0,0,0,-1,1,1,-1,0,1,-1,1,0,-1,-1,0,8,7,15,"mixed"
"CC: neuronal cell body",0,1,1,1,-1,-1,1,1,0,0,0,-1,-1,1,1,1,-1,-1,0,0,-1,0,0,8,7,15,"mixed"
"MF: glycosaminoglycan binding",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,-1,0,-1,-1,0,8,7,15,"mixed"
"MF: heparin binding",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,-1,0,-1,-1,0,8,7,15,"mixed"
"MF: tubulin binding",1,0,-1,1,1,-1,-1,1,0,0,0,-1,1,1,-1,0,1,0,1,0,-1,-1,0,8,7,15,"mixed"
"BP: ossification",0,1,0,-1,-1,-1,1,0,-1,1,1,1,1,-1,-1,0,0,1,0,0,-1,-1,0,7,8,15,"mixed"
"BP: protein-DNA complex organization",0,-1,-1,0,0,-1,-1,1,-1,-1,1,-1,1,1,0,1,1,0,1,0,0,-1,0,7,8,15,"mixed"
"BP: response to oxidative stress",0,1,-1,-1,-1,-1,1,0,0,1,-1,1,1,-1,-1,1,-1,0,0,1,0,0,0,7,8,15,"mixed"
"CC: spindle",1,-1,-1,0,1,-1,-1,0,0,0,0,-1,1,1,-1,0,1,0,1,1,-1,-1,0,7,8,15,"mixed"
"BP: DNA-templated DNA replication",0,-1,0,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,1,-1,-1,-1,6,9,15,"mixed"
"BP: cardiac muscle tissue development",0,1,0,-1,-1,-1,-1,0,0,1,1,0,1,-1,-1,0,-1,1,0,0,-1,-1,1,6,9,15,"mixed"
"BP: cell cycle checkpoint signaling",1,-1,-1,-1,1,-1,-1,0,-1,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,6,9,15,"mixed"
"BP: mitotic cell cycle checkpoint signaling",1,-1,-1,-1,1,-1,-1,0,-1,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,6,9,15,"mixed"
"BP: negative regulation of cell cycle phase transition",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,6,9,15,"mixed"
"BP: negative regulation of mitotic metaphase/anaphase transition",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,-1,6,9,15,"mixed"
"BP: negative regulation of mitotic sister chromatid segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,-1,6,9,15,"mixed"
"BP: negative regulation of mitotic sister chromatid separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,-1,6,9,15,"mixed"
"BP: negative regulation of sister chromatid segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,-1,6,9,15,"mixed"
"BP: positive regulation of cell cycle",1,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,6,9,15,"mixed"
"BP: regulation of DNA metabolic process",0,-1,-1,-1,1,-1,-1,0,-1,0,0,-1,1,1,-1,0,1,0,1,1,0,-1,0,6,9,15,"mixed"
"BP: regulation of mitotic cell cycle",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,6,9,15,"mixed"
"BP: regulation of mitotic cell cycle phase transition",1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,6,9,15,"mixed"
"CC: small ribosomal subunit",-1,-1,0,0,-1,-1,-1,0,-1,0,-1,0,1,0,1,1,1,0,-1,0,1,1,-1,6,9,15,"mixed"
"BP: mitotic sister chromatid segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,10,15,"mixed"
"BP: nuclear chromosome segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,10,15,"mixed"
"BP: nuclear division",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,10,15,"mixed"
"BP: organelle fission",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,10,15,"mixed"
"BP: ribosome biogenesis",0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,0,0,1,1,1,-1,5,10,15,"mixed"
"BP: sister chromatid segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,10,15,"mixed"
"BP: skeletal system development",1,1,0,0,-1,-1,1,0,-1,0,0,1,1,-1,-1,0,-1,0,-1,0,-1,-1,-1,5,10,15,"mixed"
"CC: condensed chromosome, centromeric region",0,-1,-1,-1,1,-1,-1,0,0,-1,0,-1,1,1,-1,0,1,0,1,0,-1,-1,0,5,10,15,"mixed"
"CC: actomyosin",1,1,1,-1,0,0,1,1,0,1,1,1,1,0,-1,0,-1,1,0,0,0,0,1,11,3,14,"mixed"
"MF: GTPase regulator activity",0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,1,-1,1,1,1,11,3,14,"mixed"
"BP: positive regulation of cytokine production",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,-1,0,1,1,1,10,4,14,"mixed"
"MF: nucleoside-triphosphatase regulator activity",0,1,0,1,1,0,1,1,0,1,-1,1,0,0,0,0,-1,-1,1,-1,1,0,1,10,4,14,"mixed"
"BP: cell chemotaxis",0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,9,5,14,"mixed"
"BP: myofibril assembly",0,1,1,-1,-1,0,0,0,1,1,1,0,1,-1,-1,1,-1,1,1,0,0,0,0,9,5,14,"mixed"
"BP: positive regulation of apoptotic process",0,1,0,-1,0,-1,1,0,0,0,0,1,1,-1,-1,1,-1,1,0,0,1,1,1,9,5,14,"mixed"
"BP: response to peptide hormone",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,9,5,14,"mixed"
"CC: Z disc",1,1,1,0,-1,0,0,0,0,1,1,1,1,0,-1,0,-1,1,1,0,-1,-1,0,9,5,14,"mixed"
"CC: receptor complex",0,1,1,-1,0,0,1,0,0,1,1,1,0,-1,-1,-1,-1,1,1,0,0,0,1,9,5,14,"mixed"
"BP: formation of primary germ layer",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,-1,0,0,8,6,14,"mixed"
"BP: heart contraction",0,1,1,-1,0,-1,0,1,1,1,1,1,0,0,-1,0,-1,1,0,0,-1,-1,0,8,6,14,"mixed"
"BP: leukocyte cell-cell adhesion",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,-1,0,1,0,-1,0,0,1,8,6,14,"mixed"
"BP: negative regulation of cell motility",0,1,0,-1,-1,-1,1,0,-1,1,1,1,1,0,-1,1,-1,0,0,0,0,0,1,8,6,14,"mixed"
"BP: synaptic vesicle cycle",0,1,0,1,0,1,1,0,0,-1,-1,-1,-1,1,1,1,-1,-1,1,0,0,0,0,8,6,14,"mixed"
"BP: tissue remodeling",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,8,6,14,"mixed"
"CC: asymmetric synapse",0,1,1,1,-1,0,0,1,-1,-1,0,-1,-1,1,1,1,0,-1,1,0,0,0,0,8,6,14,"mixed"
"CC: basement membrane",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,0,8,6,14,"mixed"
"CC: cytoplasmic vesicle lumen",0,1,-1,-1,0,0,1,1,0,1,1,1,1,-1,-1,0,0,1,-1,0,0,-1,0,8,6,14,"mixed"
"CC: neuron to neuron synapse",0,1,1,1,-1,0,0,1,-1,-1,0,-1,-1,1,1,1,0,-1,1,0,0,0,0,8,6,14,"mixed"
"CC: postsynaptic density",0,1,1,1,-1,0,0,1,-1,-1,0,-1,-1,1,1,1,0,-1,1,0,0,0,0,8,6,14,"mixed"
"CC: secretory granule lumen",0,1,-1,-1,0,0,1,1,0,1,1,1,1,-1,-1,0,0,1,-1,0,0,-1,0,8,6,14,"mixed"
"BP: establishment of organelle localization",0,0,-1,1,1,-1,-1,1,0,0,0,-1,1,1,-1,0,1,0,1,0,-1,-1,0,7,7,14,"mixed"
"BP: muscle cell development",0,1,1,-1,-1,-1,0,0,1,1,1,0,1,-1,-1,0,-1,1,0,0,0,-1,0,7,7,14,"mixed"
"BP: muscle organ development",0,1,1,-1,0,-1,0,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,0,7,7,14,"mixed"
"BP: regulation of autophagy",0,1,-1,1,0,0,1,0,-1,1,-1,-1,-1,0,-1,1,-1,0,0,0,1,1,0,7,7,14,"mixed"
"BP: vacuolar transport",0,1,-1,0,0,0,1,0,-1,1,-1,-1,-1,-1,0,1,-1,0,0,0,1,1,1,7,7,14,"mixed"
"CC: cytosolic small ribosomal subunit",0,-1,1,0,-1,-1,-1,0,-1,0,-1,0,1,0,1,1,1,0,-1,0,1,1,0,7,7,14,"mixed"
"CC: protein-DNA complex",0,-1,0,-1,0,-1,-1,1,-1,-1,1,-1,1,1,0,1,1,0,0,1,0,0,0,7,7,14,"mixed"
"MF: signaling receptor regulator activity",0,1,1,-1,0,-1,1,0,1,0,0,1,1,0,-1,0,-1,1,-1,0,-1,-1,0,7,7,14,"mixed"
"MF: sulfur compound binding",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,-1,0,-1,-1,0,7,7,14,"mixed"
"BP: attachment of spindle microtubules to kinetochore",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,0,6,8,14,"mixed"
"BP: bone development",0,1,0,-1,0,-1,1,0,-1,1,1,0,1,-1,-1,0,-1,1,0,0,-1,-1,0,6,8,14,"mixed"
"BP: collagen fibril organization",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,0,0,0,-1,0,-1,-1,-1,6,8,14,"mixed"
"BP: embryonic organ development",0,0,0,-1,0,-1,0,0,-1,-1,1,1,1,-1,-1,0,1,1,1,0,-1,-1,0,6,8,14,"mixed"
"BP: embryonic organ morphogenesis",0,0,0,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,0,1,1,1,0,-1,-1,0,6,8,14,"mixed"
"BP: mesenchyme development",0,0,0,-1,-1,-1,0,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,-1,-1,1,6,8,14,"mixed"
"BP: mitotic spindle assembly checkpoint signaling",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,0,6,8,14,"mixed"
"BP: mitotic spindle checkpoint signaling",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,0,6,8,14,"mixed"
"BP: regulation of chromosome organization",0,-1,-1,0,1,-1,-1,0,0,0,0,-1,1,1,-1,0,1,0,1,1,-1,-1,0,6,8,14,"mixed"
"BP: renal system development",0,-1,0,-1,-1,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,0,0,-1,-1,0,6,8,14,"mixed"
"BP: spindle assembly checkpoint signaling",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,0,6,8,14,"mixed"
"BP: transforming growth factor beta receptor superfamily signaling pathway",0,1,-1,-1,0,-1,1,0,0,1,1,0,1,-1,-1,0,-1,1,0,0,-1,-1,0,6,8,14,"mixed"
"CC: CMG complex",0,-1,0,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,1,-1,-1,-1,6,8,14,"mixed"
"CC: mitotic spindle",1,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,6,8,14,"mixed"
"CC: respiratory chain complex",-1,1,0,0,-1,-1,-1,0,0,0,-1,-1,1,1,1,1,0,0,0,1,-1,-1,0,6,8,14,"mixed"
"CC: transporter complex",-1,1,0,1,-1,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,0,1,-1,0,-1,6,8,14,"mixed"
"BP: DNA recombination",0,-1,0,0,1,-1,-1,0,-1,-1,0,-1,1,1,-1,0,1,0,1,0,-1,-1,0,5,9,14,"mixed"
"BP: cellular respiration",-1,1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,1,1,0,0,0,1,-1,-1,-1,5,9,14,"mixed"
"BP: chromosome localization",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,9,14,"mixed"
"BP: chromosome separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: establishment of chromosome localization",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,9,14,"mixed"
"BP: meiotic cell cycle",0,-1,0,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: metaphase chromosome alignment",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,9,14,"mixed"
"BP: mitotic nuclear division",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: mitotic sister chromatid separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: negative regulation of cell cycle",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: negative regulation of mitotic cell cycle phase transition",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: positive regulation of chromosome separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: regionalization",0,-1,0,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,0,0,1,1,0,-1,-1,0,5,9,14,"mixed"
"BP: regulation of chromosome segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,9,14,"mixed"
