"term","ontology","ID","Description","sig_count","up_count","down_count","mean_NES","sd_NES","mean_up_NES","sd_up_NES","mean_down_NES","sd_down_NES","consensus"
"MF: extracellular matrix structural constituent","MF","GO:0005201","extracellular matrix structural constituent",13,8,5,0.495699808774862,2.12656540123002,2.08915467466566,0.344246267687194,-2.05382797665041,0.395151710884983,"mixed"
"BP: extracellular matrix organization","BP","GO:0030198","extracellular matrix organization",13,7,6,0.194193831744703,2.12068496583055,2.0545270025672,0.319430690922387,-1.97619486754821,0.416183063670375,"mixed"
"BP: extracellular structure organization","BP","GO:0043062","extracellular structure organization",13,7,6,0.195339141263201,2.11774111320819,2.05288903622268,0.321134951934151,-1.97180240285618,0.416342889313096,"mixed"
"BP: external encapsulating structure organization","BP","GO:0045229","external encapsulating structure organization",13,7,6,0.194002057276739,2.11645813007097,2.05042594547063,0.321135588853248,-1.9718258122828,0.415918757833747,"mixed"
"CC: kinetochore","CC","GO:0000776","kinetochore",13,5,8,-0.411188195811127,2.03241936929228,2.01161826508273,0.534480275094631,-1.92544223386979,0.323460570631149,"mixed"
"CC: cytosolic small ribosomal subunit","CC","GO:0022627","cytosolic small ribosomal subunit",13,6,7,-0.305599328284634,2.22968407453772,1.98681175103318,0.267668406420002,-2.27052311055704,0.351731753266573,"mixed"
"CC: endoplasmic reticulum lumen","CC","GO:0005788","endoplasmic reticulum lumen",13,8,5,0.382289212748423,2.15788320155494,1.98249257739826,0.438144007001293,-2.17803617069132,0.56395720830913,"mixed"
"CC: actomyosin","CC","GO:0042641","actomyosin",13,10,3,0.956886934913652,1.72998123107426,1.85633291833198,0.188535627507361,-2.04126634314743,0.518319190150044,"mixed"
"BP: protein-DNA complex assembly","BP","GO:0065004","protein-DNA complex assembly",13,7,6,0.0411347176862706,2.06756637223456,1.84653996784748,0.405528666197327,-2.06517140750181,0.418491975860677,"mixed"
"CC: external side of plasma membrane","CC","GO:0009897","external side of plasma membrane",13,8,5,0.403162592834769,1.91088068072799,1.84043571983464,0.330555000916402,-1.89647441036503,0.145798993601525,"mixed"
"BP: muscle cell development","BP","GO:0055001","muscle cell development",13,7,6,0.192634205140255,1.86866462776877,1.83828534572602,0.31296847122345,-1.72729212554314,0.219689727535724,"mixed"
"BP: positive regulation of cell adhesion","BP","GO:0045785","positive regulation of cell adhesion",13,7,6,0.161393158717516,1.87960510636192,1.81872420995941,0.274908705009175,-1.77215973439803,0.237718849515951,"mixed"
"BP: cell chemotaxis","BP","GO:0060326","cell chemotaxis",13,8,5,0.427129686671466,1.82997577525275,1.80040065691016,0.340589492276511,-1.77010386571045,0.192071575351313,"mixed"
"CC: coated vesicle membrane","CC","GO:0030662","coated vesicle membrane",13,6,7,-0.059490727529433,1.76317738241873,1.7594236767473,0.248314277350636,-1.61856021690949,0.148128610376223,"mixed"
"CC: receptor complex","CC","GO:0043235","receptor complex",13,7,6,0.209620283537484,1.73912046708479,1.74792851879982,0.214665003257792,-1.58507265760191,0.1598195870797,"mixed"
"BP: synaptic vesicle cycle","BP","GO:0099504","synaptic vesicle cycle",13,8,5,0.489874642379953,1.65627634172086,1.7376022867774,0.237394413459637,-1.50648958865597,0.188797628024472,"mixed"
"BP: striated muscle cell differentiation","BP","GO:0051146","striated muscle cell differentiation",13,8,5,0.379558746533283,1.79907127050396,1.7317333850963,0.326360041914207,-1.78392067516755,0.126577082765666,"mixed"
"BP: tissue remodeling","BP","GO:0048771","tissue remodeling",13,7,6,0.119276592426561,1.81421036614364,1.72441616125847,0.157508138229134,-1.75338623787733,0.232787648214384,"mixed"
"BP: cell-cell adhesion via plasma-membrane adhesion molecules","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",13,9,4,0.684647238831167,1.5935459927896,1.69955002680777,0.193861499029951,-1.5988840341162,0.120690247716622,"mixed"
"MF: microtubule binding","MF","GO:0008017","microtubule binding",13,8,5,0.448996160692915,1.64585901556713,1.69080692450746,0.236274293701966,-1.53790106141036,0.09986159849886,"mixed"
"BP: Wnt signaling pathway","BP","GO:0016055","Wnt signaling pathway",13,5,8,-0.263929517829234,1.61600694436402,1.68359415864491,0.23644475291362,-1.48113181562558,0.206059292385491,"mixed"
