"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: D-glucose import",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: D-glucose transmembrane transport",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: DNA biosynthetic process",0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"BP: DNA conformation change",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: DNA damage checkpoint signaling",1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0
"BP: DNA damage response, signal transduction by p53 class mediator",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"BP: DNA double-strand break processing",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BP: DNA integrity checkpoint signaling",1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0
"BP: DNA methylation-dependent constitutive heterochromatin formation",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: DNA modification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: DNA recombination",0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
"BP: DNA repair-dependent chromatin remodeling",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: DNA replication",0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"BP: DNA replication checkpoint signaling",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: DNA replication initiation",0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
"BP: DNA strand elongation",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: DNA strand elongation involved in DNA replication",0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0
"BP: DNA strand resection involved in replication fork processing",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: DNA synthesis involved in DNA repair",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: DNA topological change",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"BP: DNA-templated DNA replication",0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"BP: DNA-templated DNA replication maintenance of fidelity",0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
"BP: DNA-templated transcription elongation",0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"BP: DNA-templated transcription initiation",0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0
"BP: DNA-templated transcription termination",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: ER overload response",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: ER-nucleus signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"BP: ERAD pathway",0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"BP: ERBB signaling pathway",0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: ERK1 and ERK2 cascade",0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0
"BP: Fc receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: Fc-gamma receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: Fc-gamma receptor signaling pathway involved in phagocytosis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: G protein-coupled acetylcholine receptor signaling pathway",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: G protein-coupled dopamine receptor signaling pathway",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: G protein-coupled glutamate receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"BP: G protein-coupled opioid receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: G protein-coupled purinergic nucleotide receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: G protein-coupled receptor internalization",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: G protein-coupled receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
