"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: detection of external stimulus",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"BP: detection of light stimulus",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"BP: detection of light stimulus involved in sensory perception",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BP: detection of light stimulus involved in visual perception",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BP: detection of molecule of bacterial origin",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: detection of other organism",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: detection of stimulus",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: detection of stimulus involved in sensory perception",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: determination of adult lifespan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: determination of bilateral symmetry",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"BP: determination of heart left/right asymmetry",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"BP: determination of left/right symmetry",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"BP: detoxification",1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
"BP: detoxification of inorganic compound",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"BP: development of primary female sexual characteristics",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: development of primary male sexual characteristics",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"BP: development of primary sexual characteristics",0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
"BP: developmental cell growth",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"BP: developmental growth involved in morphogenesis",0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
"BP: developmental induction",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: developmental maturation",0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
"BP: developmental pigmentation",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: diacylglycerol metabolic process",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: dicarboxylic acid catabolic process",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: dicarboxylic acid metabolic process",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: dicarboxylic acid transport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: diencephalon development",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: digestion",0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"BP: digestive system development",0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
"BP: digestive system process",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: digestive tract development",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: digestive tract morphogenesis",0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"BP: diol metabolic process",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: disruption of anatomical structure in another organism",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: disruption of cell in another organism",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: diterpenoid metabolic process",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BP: dolichol metabolic process",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: dolichol-linked oligosaccharide biosynthetic process",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: dopamine biosynthetic process",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: dopamine metabolic process",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: dopamine secretion",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"BP: dopamine transport",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: dopaminergic neuron differentiation",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"BP: dorsal spinal cord development",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: dorsal/ventral axis specification",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: dorsal/ventral neural tube patterning",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: dorsal/ventral pattern formation",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
"BP: dosage compensation by inactivation of X chromosome",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: double-strand break repair",0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
"BP: double-strand break repair via break-induced replication",0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"BP: double-strand break repair via homologous recombination",0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0
"BP: double-strand break repair via nonhomologous end joining",0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"BP: doxorubicin metabolic process",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ear development",0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
"BP: ear morphogenesis",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
"BP: early endosome to Golgi transport",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: early endosome to late endosome transport",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"BP: eating behavior",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BP: ectoderm development",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: ectodermal placode development",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: ectodermal placode formation",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ectodermal placode morphogenesis",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: elastic fiber assembly",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: electron transport chain",1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1
"BP: embryo implantation",0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"BP: embryonic appendage morphogenesis",0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: embryonic axis specification",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: embryonic brain development",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"BP: embryonic camera-type eye development",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: embryonic camera-type eye formation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: embryonic camera-type eye morphogenesis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: embryonic cranial skeleton morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: embryonic digestive tract development",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: embryonic digestive tract morphogenesis",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: embryonic digit morphogenesis",0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
"BP: embryonic epithelial tube formation",0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
"BP: embryonic eye morphogenesis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: embryonic forelimb morphogenesis",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: embryonic heart tube development",0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"BP: embryonic heart tube morphogenesis",0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
"BP: embryonic hindlimb morphogenesis",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: embryonic limb morphogenesis",0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: embryonic morphogenesis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"BP: embryonic organ development",0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0
"BP: embryonic organ morphogenesis",0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"BP: embryonic pattern specification",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: embryonic placenta development",0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"BP: embryonic placenta morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: embryonic skeletal joint development",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: embryonic skeletal joint morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: embryonic skeletal system development",0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
"BP: embryonic skeletal system morphogenesis",0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
"BP: enamel mineralization",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: endocardial cushion development",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"BP: endocardial cushion formation",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: endocardial cushion morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: endochondral bone growth",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: endochondral bone morphogenesis",0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
"BP: endochondral ossification",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: endocrine hormone secretion",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"BP: endocrine pancreas development",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: endocrine process",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"BP: endocrine system development",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
"BP: endocytic recycling",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"BP: endocytosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: endocytosis involved in viral entry into host cell",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: endoderm development",0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0
"BP: endoderm formation",0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
"BP: endodermal cell differentiation",0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
"BP: endolysosomal toll-like receptor signaling pathway",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"BP: endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: endoplasmic reticulum mannose trimming",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: endoplasmic reticulum organization",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: endoplasmic reticulum to Golgi vesicle-mediated transport",0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"BP: endoplasmic reticulum to cytosol transport",0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0
"BP: endoplasmic reticulum tubular network organization",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: endoplasmic reticulum unfolded protein response",0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
"BP: endosomal lumen acidification",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: endosomal transport",0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1
"BP: endosomal vesicle fusion",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BP: endosome organization",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"BP: endosome to lysosome transport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: endosome to lysosome transport via multivesicular body sorting pathway",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: endosome to plasma membrane protein transport",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BP: endosome transport via multivesicular body sorting pathway",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: endothelial cell apoptotic process",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"BP: endothelial cell chemotaxis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"BP: endothelial cell development",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"BP: endothelial cell differentiation",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
"BP: endothelial cell migration",0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
"BP: endothelial cell morphogenesis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"BP: endothelial cell proliferation",0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
"BP: endothelial tube morphogenesis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: endothelin receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: endothelium development",0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0
"BP: energy derivation by oxidation of organic compounds",1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1
"BP: energy reserve metabolic process",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ensheathment of neurons",0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
"BP: enteric nervous system development",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: enteroendocrine cell differentiation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: eosinophil chemotaxis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: eosinophil migration",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: ephrin receptor signaling pathway",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"BP: epiboly",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: epiboly involved in wound healing",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: epidermal cell differentiation",0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
"BP: epidermal growth factor receptor signaling pathway",0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: epidermis development",0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0
"BP: epidermis morphogenesis",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"BP: epigenetic programming of gene expression",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: epigenetic regulation of gene expression",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
"BP: epithelial cell apoptotic process",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: epithelial cell development",0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0
"BP: epithelial cell differentiation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: epithelial cell differentiation involved in kidney development",0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"BP: epithelial cell maturation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: epithelial cell migration",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"BP: epithelial cell morphogenesis",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
"BP: epithelial cell proliferation",0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"BP: epithelial cell-cell adhesion",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"BP: epithelial cilium movement involved in determination of left/right asymmetry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BP: epithelial cilium movement involved in extracellular fluid movement",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: epithelial fluid transport",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: epithelial structure maintenance",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"BP: epithelial to mesenchymal transition",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0
"BP: epithelial to mesenchymal transition involved in endocardial cushion formation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: epithelial tube branching involved in lung morphogenesis",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: epithelial tube formation",0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
"BP: epithelial tube morphogenesis",0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0
"BP: epithelium migration",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"BP: error-prone translesion synthesis",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BP: erythrocyte development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: erythrocyte differentiation",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: erythrocyte homeostasis",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: erythrocyte maturation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: establishment of RNA localization",0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"BP: establishment of T cell polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: establishment of apical/basal cell polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of blood-brain barrier",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: establishment of cell polarity",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"BP: establishment of chromosome localization",0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"BP: establishment of endothelial barrier",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: establishment of endothelial intestinal barrier",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of epithelial cell apical/basal polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: establishment of epithelial cell polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of lymphocyte polarity",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"BP: establishment of mitochondrion localization",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: establishment of mitochondrion localization, microtubule-mediated",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: establishment of mitotic spindle localization",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"BP: establishment of mitotic spindle orientation",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"BP: establishment of organelle localization",0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1
"BP: establishment of planar polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of protein localization to chromosome",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"BP: establishment of protein localization to endoplasmic reticulum",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: establishment of protein localization to extracellular region",0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
"BP: establishment of protein localization to membrane",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: establishment of protein localization to mitochondrial membrane",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: establishment of protein localization to mitochondrion",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: establishment of protein localization to organelle",0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
"BP: establishment of protein localization to plasma membrane",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: establishment of protein localization to telomere",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of protein localization to vacuole",0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
"BP: establishment of skin barrier",0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"BP: establishment of spindle localization",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"BP: establishment of spindle orientation",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"BP: establishment of tissue polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: establishment of vesicle localization",0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1
"BP: establishment or maintenance of apical/basal cell polarity",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"BP: establishment or maintenance of bipolar cell polarity",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"BP: establishment or maintenance of cell polarity",0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
"BP: establishment or maintenance of epithelial cell apical/basal polarity",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"BP: estrogen metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: estrogen receptor signaling pathway",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: excitatory chemical synaptic transmission",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: excitatory postsynaptic potential",0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"BP: excitatory synapse assembly",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BP: execution phase of apoptosis",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: exit from mitosis",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: exocrine system development",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"BP: exocytic process",0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
"BP: exocytosis",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
"BP: exploration behavior",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: export across plasma membrane",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: external encapsulating structure organization",0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"BP: extracellular matrix assembly",0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: extracellular matrix constituent secretion",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: extracellular matrix disassembly",0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
"BP: extracellular matrix organization",0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"BP: extracellular negative regulation of signal transduction",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"BP: extracellular regulation of signal transduction",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"BP: extracellular structure organization",0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"BP: extracellular transport",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: extraembryonic membrane development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: extrinsic apoptotic signaling pathway",0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1
"BP: extrinsic apoptotic signaling pathway in absence of ligand",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: extrinsic apoptotic signaling pathway via death domain receptors",0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
"BP: eye development",0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"BP: eye morphogenesis",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"BP: eye photoreceptor cell development",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BP: eye photoreceptor cell differentiation",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"BP: face development",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"BP: face morphogenesis",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"BP: facultative heterochromatin formation",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: fat cell differentiation",0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"BP: fat-soluble vitamin metabolic process",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: fatty acid beta-oxidation",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"BP: fatty acid biosynthetic process",0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
