dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_CNS,RP9P,RP9P,1,codingPotential,0.3980666666666666,0.020027317830517356
Lai_CNS,SGCE,SGCE,1,PTC,0.12326666666666666,0.021315566149719457
Lai_CNS,TBC1D17,TBC1D17,2,codingPotential; domain_identified,0.2853333333333334,0.021341651794789064
Lai_CNS,TPP1,TPP1,1,IR,0.12053333333333327,0.021522066966766347
Lai_CNS,HDAC3,HDAC3,1,IR,0.21943333333333337,0.021634064591367984
Lai_CNS,PLK4,PLK4,1,IR,0.31156666666666666,0.02260526721049712
Lai_CNS,ENSG00000291224.2,NA,1,IR,0.2502333333333333,0.023845533594288464
Lai_CNS,MBD5,MBD5,1,IR,0.13593333333333332,0.023942120058250506
Lai_CNS,ZNF781,ZNF781,1,codingPotential,0.35483333333333333,0.024308120323609194
Lai_CNS,GARS1,GARS1,3,codingPotential; domain_identified; IR,0.1753333333333333,0.02622336584433497
Lai_CNS,ZNF510,ZNF510,1,codingPotential,0.1454,0.02625589505984431
Lai_CNS,ORMDL3,ORMDL3,1,IR,0.1426333333333334,0.02625589505984431
Lai_CNS,ZNF749,ZNF749,1,codingPotential,0.18826666666666667,0.026580252821271935
Lai_CNS,GADD45B,GADD45B,3,codingPotential; domain_identified; IR,0.2532666666666667,0.028045872515001492
Lai_CNS,ZNF710,ZNF710,1,IR,0.3046,0.029252561933101447
Lai_CNS,FBXO10,FBXO10,2,codingPotential; domain_identified,0.18726666666666658,0.029367552002590662
Lai_CNS,SNIP1,SNIP1,3,codingPotential; domain_identified; PTC,0.2583,0.029640187066416766
Lai_CNS,B4GALNT4,B4GALNT4,1,PTC,0.1119,0.029794611945995697
Lai_CNS,ZFP64,ZFP64,1,IR,0.19943333333333335,0.0305782578190586
Lai_CNS,ZNF397,ZNF397,1,codingPotential,0.10266666666666666,0.0328052411201886
Lai_CNS,IRX2,IRX2,3,codingPotential; domain_identified; IR,0.14063333333333333,0.03699222753013694
