gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00030293,TBK1,TBK1,Control,FRDA,0.007535919524276878,377
geneComp_00004642,DPH7,DPH7,Control,FRDA,0.007593682377819377,378
geneComp_00004102,DBNDD1,DBNDD1,Control,FRDA,0.00787097909685514,379
geneComp_00023581,PAFAH1B1,PAFAH1B1,Control,FRDA,0.0078732049573952,380
geneComp_00017672,GTF2IRD2B,GTF2IRD2B,Control,FRDA,0.008279876526915477,381
geneComp_00000435,AFDN,AFDN,Control,FRDA,0.008355680615290994,382
geneComp_00031809,UBE2Q2,UBE2Q2,Control,FRDA,0.008453024754006193,383
geneComp_00000196,ACSL4,ACSL4,Control,FRDA,0.008968466613495206,384
geneComp_00032729,ZFAND2A,ZFAND2A,Control,FRDA,0.009057643935095708,385
geneComp_00021546,MFSD8,MFSD8,Control,FRDA,0.009078556878077269,386
geneComp_00018539,IFI27L1,IFI27L1,Control,FRDA,0.009112431382851418,387
geneComp_00019248,KIAA0930,KIAA0930,Control,FRDA,0.009338838398414801,388
geneComp_00000990,ARHGAP1,ARHGAP1,Control,FRDA,0.009359394748218789,389
geneComp_00023762,PCDHA10,PCDHA10,Control,FRDA,0.00937499661081504,390
geneComp_00002532,CCDC66,CCDC66,Control,FRDA,0.00942213391126837,391
geneComp_00018274,HOOK2,HOOK2,Control,FRDA,0.009504979611792926,392
geneComp_00028195,SEMA6B,SEMA6B,Control,FRDA,0.009745195900939604,393
geneComp_00032038,USP40,USP40,Control,FRDA,0.009870785660390994,394
geneComp_00000429,AEBP2,AEBP2,Control,FRDA,0.00987355267180075,395
geneComp_00021093,MAGI2,MAGI2,Control,FRDA,0.009879782810401472,396
geneComp_00033106,ZNF500,ZNF500,Control,FRDA,0.010062127153870504,397
geneComp_00017671,GTF2IRD2,GTF2IRD2,Control,FRDA,0.010113273003789443,398
geneComp_00019623,LDB2,LDB2,Control,FRDA,0.01060296931082872,399
geneComp_00000895,APBB3,APBB3,Control,FRDA,0.01210710629082131,400
geneComp_00031237,TPRKB,TPRKB,Control,FRDA,0.012313820176483185,401
geneComp_00028448,SHISA5,SHISA5,Control,FRDA,0.01275651396356478,402
geneComp_00000013,AADAT,AADAT,Control,FRDA,0.012773919783148398,403
geneComp_00003274,CLCN2,CLCN2,Control,FRDA,0.012773919783148398,404
geneComp_00029497,SPATA24,SPATA24,Control,FRDA,0.012773919783148398,405
geneComp_00001282,ATF6,ATF6,Control,FRDA,0.013146637226336024,406
geneComp_00026782,RNF4,RNF4,Control,FRDA,0.013412157564764497,407
geneComp_00020923,LRRFIP2,LRRFIP2,Control,FRDA,0.014149149282447506,408
geneComp_00004449,DLST,DLST,Control,FRDA,0.014354018089902866,409
geneComp_00030427,TENT4B,TENT4B,Control,FRDA,0.014354018089902866,410
geneComp_00016232,FAM210A,FAM210A,Control,FRDA,0.014386508769673515,411
geneComp_00011629,ENSG00000291154.2,NA,Control,FRDA,0.014499354404514001,412
geneComp_00023847,PCNT,PCNT,Control,FRDA,0.014905958739256386,413
geneComp_00019201,KDM1A,KDM1A,Control,FRDA,0.015622566584832437,414
geneComp_00016035,EXOC1,EXOC1,Control,FRDA,0.01580142955783573,415
