"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ENSG00000242553.3",NA,"ENST00000440629","Control","FRDA",0.01358,0.12602,0.11244,0.00131608133687482,"Higher in FRDA"
"SBNO2","SBNO2","ENST00000438103","Control","FRDA",0.02148,0.1768,0.15532,0.00131608133687482,"Higher in FRDA"
"ENSG00000310534.1",NA,"ENST00000739458","Control","FRDA",0.34694,0,-0.34694,0.00185051778798674,"Higher in Control"
"SBNO1-AS1","SBNO1-AS1","ENST00000702491","Control","FRDA",0,0.29546,0.29546,0.00185051778798674,"Higher in FRDA"
"SLX1A-SULT1A3","SLX1A-SULT1A3","ENST00000567520","Control","FRDA",0.1392,0,-0.1392,0.00202049201575974,"Higher in Control"
"ADGRG6","ADGRG6","ENST00000367609","Control","FRDA",0.13044,0,-0.13044,0.0020600468161662,"Higher in Control"
"ZNF385B","ZNF385B","ENST00000409343","Control","FRDA",0.3471,0.06398,-0.28312,0.00225623038203787,"Higher in Control"
"SNAP25-AS1","SNAP25-AS1","ENST00000807508","Control","FRDA",0.13298,0,-0.13298,0.0022847981894672,"Higher in Control"
"PDLIM2","PDLIM2","ENST00000397760","Control","FRDA",0.00874,0.13132,0.12258,0.00234818682197603,"Higher in FRDA"
"ENSG00000290585.2",NA,"ENST00000757052","Control","FRDA",0,0.10534,0.10534,0.00241261569500254,"Higher in FRDA"
"ANK1","ANK1","ENST00000645531","Control","FRDA",0.00748,0.11288,0.1054,0.00243228911295005,"Higher in FRDA"
"ABHD14A-ACY1","ABHD14A-ACY1","ENST00000463721","Control","FRDA",0.16074,0.0076,-0.15314,0.00283194281179818,"Higher in Control"
"CHRM3","CHRM3","ENST00000676153","Control","FRDA",0.61054,0.71332,0.10278,0.00311141762664534,"Higher in FRDA"
"ENSG00000290576.2",NA,"ENST00000842867","Control","FRDA",0.11256,0,-0.11256,0.00311849142260661,"Higher in Control"
"ENSG00000299654.1",NA,"ENST00000765476","Control","FRDA",0,0.3185,0.3185,0.00328520489704931,"Higher in FRDA"
"PKIB","PKIB","ENST00000368452","Control","FRDA",0.37332,0.21556,-0.15776,0.00338088277496944,"Higher in Control"
"ENSG00000310323.1",NA,"ENST00000849066","Control","FRDA",0.1814,0.47324,0.29184,0.0035428261192109,"Higher in FRDA"
"IFITM10","IFITM10","ENST00000382123","Control","FRDA",0.31164,0.58052,0.26888,0.00354980191939795,"Higher in FRDA"
"ANXA2R-OT1","ANXA2R-OT1","ENST00000686257","Control","FRDA",0.21302,0.09412,-0.1189,0.00374362866189966,"Higher in Control"
"ZNF331","ZNF331","ENST00000648511","Control","FRDA",0.14826,0,-0.14826,0.00374362866189966,"Higher in Control"
"PPFIA2","PPFIA2","ENST00000549917","Control","FRDA",0.1498,0,-0.1498,0.00381859945007358,"Higher in Control"
"SLC25A15","SLC25A15","ENST00000707033","Control","FRDA",0.1884,0.03626,-0.15214,0.00426672442884181,"Higher in Control"
"SLC10A3","SLC10A3","ENST00000651600","Control","FRDA",0.0816,0.44216,0.36056,0.00504845686405132,"Higher in FRDA"
"STK17B","STK17B","ENST00000714417","Control","FRDA",0.1281,0,-0.1281,0.00527663440518928,"Higher in Control"
"DDX54","DDX54","ENST00000546898","Control","FRDA",0,0.11626,0.11626,0.00532965731263237,"Higher in FRDA"
"RECQL4","RECQL4","ENST00000621189","Control","FRDA",0.32328,0.20216,-0.12112,0.00596134527414227,"Higher in Control"
"ZDHHC2","ZDHHC2","ENST00000262096","Control","FRDA",0.99402,0.73606,-0.25796,0.00596134527414227,"Higher in Control"
"TSPO","TSPO","ENST00000583777","Control","FRDA",0,0.10106,0.10106,0.00609252770856273,"Higher in FRDA"
"ZDHHC2","ZDHHC2","ENST00000522184","Control","FRDA",0,0.24602,0.24602,0.00609252770856273,"Higher in FRDA"
"WFDC21P","WFDC21P","ENST00000685091","Control","FRDA",0,0.17288,0.17288,0.0063971478426995,"Higher in FRDA"
"ZNF528-AS1","ZNF528-AS1","ENST00000663140","Control","FRDA",0.08132,0.24996,0.16864,0.00642625922144983,"Higher in FRDA"
"USP48","USP48","ENST00000526044","Control","FRDA",0.04506,0.23344,0.18838,0.00656413436078927,"Higher in FRDA"
"GUSBP3","GUSBP3","ENST00000798600","Control","FRDA",0,0.1741,0.1741,0.00671329676570498,"Higher in FRDA"
"GRM1","GRM1","ENST00000282753","Control","FRDA",0.0082,0.21558,0.20738,0.00677416377242049,"Higher in FRDA"
"GTF2H2C","GTF2H2C","ENST00000513959","Control","FRDA",0.21628,0.01934,-0.19694,0.00790313034110628,"Higher in Control"
"F11R","F11R","ENST00000537746","Control","FRDA",0,0.10114,0.10114,0.00835444439416083,"Higher in FRDA"
"ADCY7","ADCY7","ENST00000673801","Control","FRDA",0.03564,0.18994,0.1543,0.00909820172007238,"Higher in FRDA"
"ENSG00000289511.2",NA,"ENST00000690385","Control","FRDA",1,0.77352,-0.22648,0.00909820172007238,"Higher in Control"
"ENSG00000241860.8",NA,"ENST00000831119","Control","FRDA",0.1264,0.02054,-0.10586,0.0101867384687781,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779226","Control","FRDA",0.14174,0.3547,0.21296,0.0105071051270331,"Higher in FRDA"
"PCDHA10","PCDHA10","ENST00000506939","Control","FRDA",0.3441,0.0348,-0.3093,0.0105992810086717,"Higher in Control"
"C16orf87","C16orf87","ENST00000565112","Control","FRDA",0.06988,0.38292,0.31304,0.010925100603357,"Higher in FRDA"
"MYO1E","MYO1E","ENST00000558814","Control","FRDA",0.0774,0.30074,0.22334,0.0117518894753381,"Higher in FRDA"
"TLK2","TLK2","ENST00000580705","Control","FRDA",0.06418,0.23554,0.17136,0.0119119808394113,"Higher in FRDA"
"NHSL1-AS1","NHSL1-AS1","ENST00000719387","Control","FRDA",0.00546,0.1341,0.12864,0.0124905382463242,"Higher in FRDA"
"ENSG00000300150.1",NA,"ENST00000769508","Control","FRDA",0.07346,0.3014,0.22794,0.0126067441650089,"Higher in FRDA"
"PCDHA10","PCDHA10","ENST00000307360","Control","FRDA",0.48076,0.07856,-0.4022,0.0126162786698942,"Higher in Control"
"ZNF781","ZNF781","ENST00000590008","Control","FRDA",0.0836,0.2016,0.118,0.0129011913326078,"Higher in FRDA"
"ANKRD49","ANKRD49","ENST00000540349","Control","FRDA",0.05434,0.32754,0.2732,0.0132625082298473,"Higher in FRDA"
"FOLR1","FOLR1","ENST00000393681","Control","FRDA",0.39868,0.18824,-0.21044,0.0146636000652839,"Higher in Control"
"LMCD1","LMCD1","ENST00000426878","Control","FRDA",0.14744,0.27464,0.1272,0.0150850325621289,"Higher in FRDA"
"BTBD19","BTBD19","ENST00000485668","Control","FRDA",0.02766,0.13804,0.11038,0.0164133442028467,"Higher in FRDA"
"PDGFB","PDGFB","ENST00000381551","Control","FRDA",0.08392,0.37382,0.2899,0.0166283323450909,"Higher in FRDA"
"ENSG00000310190.1",NA,"ENST00000847999","Control","FRDA",0.1012,0,-0.1012,0.017392646139977,"Higher in Control"
