gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00024971,PLAC8,PLAC8,Control,FRDA,0.012330665045358272,398
geneComp_00023227,NFASC,NFASC,Control,FRDA,0.012340331537437759,399
geneComp_00004244,DACT3-AS1,DACT3-AS1,Control,FRDA,0.012344595339951508,400
geneComp_00019624,KDM5B,KDM5B,Control,FRDA,0.012421330217752512,401
geneComp_00017458,GDAP1,GDAP1,Control,FRDA,0.012431136510272507,402
geneComp_00001544,B3GALT5-AS1,B3GALT5-AS1,Control,FRDA,0.012464473144179117,403
geneComp_00022977,NAT1,NAT1,Control,FRDA,0.01257972706439616,404
geneComp_00024741,PHF20,PHF20,Control,FRDA,0.012814266210471544,405
geneComp_00022765,MYBBP1A,MYBBP1A,Control,FRDA,0.0130973853001689,406
geneComp_00002651,CCDC93,CCDC93,Control,FRDA,0.01334734346525419,407
geneComp_00021030,LINC02802,LINC02802,Control,FRDA,0.013629806043523509,408
geneComp_00000109,ABHD3,ABHD3,Control,FRDA,0.013957602745368917,409
geneComp_00021687,MAP3K14,MAP3K14,Control,FRDA,0.014026296346197039,410
geneComp_00000461,AGA-DT,AGA-DT,Control,FRDA,0.014073787398497385,411
geneComp_00032411,ZHX3,ZHX3,Control,FRDA,0.014073787398497385,412
geneComp_00020006,LAMA4,LAMA4,Control,FRDA,0.014189087695471088,413
geneComp_00022510,MRPS33,MRPS33,Control,FRDA,0.014296289308286227,414
geneComp_00023728,NUDT7,NUDT7,Control,FRDA,0.014306909248476034,415
geneComp_00027567,SACM1L,SACM1L,Control,FRDA,0.014575224939866975,416
geneComp_00018299,HDAC1,HDAC1,Control,FRDA,0.014675863630385219,417
geneComp_00024820,PIGN,PIGN,Control,FRDA,0.01524446612826941,418
geneComp_00020760,LINC02021,LINC02021,Control,FRDA,0.015429711734382123,419
geneComp_00029769,TAMALIN,TAMALIN,Control,FRDA,0.01580377900773768,420
geneComp_00002737,CCT6B,CCT6B,Control,FRDA,0.01593826692295123,421
geneComp_00026469,REPS2,REPS2,Control,FRDA,0.016036911355207108,422
geneComp_00025699,PRRT3,PRRT3,Control,FRDA,0.016193706271397195,423
geneComp_00023628,NSD1,NSD1,Control,FRDA,0.016436919974188544,424
geneComp_00018826,HULC,HULC,Control,FRDA,0.01645442806091263,425
geneComp_00018146,H2AC25,H2AC25,Control,FRDA,0.016795631314508157,426
geneComp_00007992,ENSG00000264112.2,NA,Control,FRDA,0.0180910969425563,427
geneComp_00025175,PODXL,PODXL,Control,FRDA,0.01890142384024722,428
geneComp_00028385,SLC27A3,SLC27A3,Control,FRDA,0.01890142384024722,429
geneComp_00020007,LAMA5,LAMA5,Control,FRDA,0.01922836197121436,430
geneComp_00019580,KCTD1,KCTD1,Control,FRDA,0.019396062486497872,431
geneComp_00028361,SLC25A45,SLC25A45,Control,FRDA,0.01951077486328828,432
geneComp_00001022,ARFIP1,ARFIP1,Control,FRDA,0.019552236977445996,433
geneComp_00031232,TTYH2,TTYH2,Control,FRDA,0.019557520553641187,434
geneComp_00003654,COL25A1,COL25A1,Control,FRDA,0.01968092825333957,435
geneComp_00019436,KANK4,KANK4,Control,FRDA,0.01971327804831234,436
geneComp_00025634,PROX1,PROX1,Control,FRDA,0.01982559225479877,437
geneComp_00025264,POP4,POP4,Control,FRDA,0.01995080250596203,438
geneComp_00000499,AGPAT4,AGPAT4,Control,FRDA,0.02028270894251861,439
geneComp_00016614,FAM27E3,FAM27E3,Control,FRDA,0.02063149166782585,440
geneComp_00027216,RPP21,RPP21,Control,FRDA,0.02063149166782585,441
geneComp_00029833,TBC1D14,TBC1D14,Control,FRDA,0.020847940440676293,442
geneComp_00032485,ZNF169,ZNF169,Control,FRDA,0.021398210280914442,443
geneComp_00012062,ENSG00000293427.2,NA,Control,FRDA,0.021417218037032375,444
geneComp_00014706,ENSG00000304501.1,NA,Control,FRDA,0.021417218037032375,445
geneComp_00027601,SAP25,SAP25,Control,FRDA,0.021494376968341486,446
geneComp_00027703,SCML1,SCML1,Control,FRDA,0.021494376968341486,447
geneComp_00030814,TPCN1,TPCN1,Control,FRDA,0.021775629220379535,448
geneComp_00005884,ENSG00000228509.8,NA,Control,FRDA,0.021821712055857038,449
geneComp_00005841,ENSG00000227885.5,NA,Control,FRDA,0.021919294759734628,450
geneComp_00020361,LINC00842,LINC00842,Control,FRDA,0.022157885407897794,451
geneComp_00020259,LINC00327,LINC00327,Control,FRDA,0.02237598816224298,452
geneComp_00032583,ZNF292,ZNF292,Control,FRDA,0.022444451793122135,453
geneComp_00024929,PKIG,PKIG,Control,FRDA,0.022640881064877827,454
geneComp_00025452,PPP3CB-AS1,PPP3CB-AS1,Control,FRDA,0.022707877593685612,455
geneComp_00017533,GHDC,GHDC,Control,FRDA,0.02304358085342178,456
