"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"DTD1","DTD1","ENST00000377452","Control","FRDA",0.306675,0.516075,0.2094,0.000387086348224254,"Higher in FRDA"
"SRPK2","SRPK2","ENST00000357311","Control","FRDA",0.48115,0.20765,-0.2735,0.000387086348224254,"Higher in Control"
"ERC2","ERC2","ENST00000472917","Control","FRDA",0.0258,0.172775,0.146975,0.000399747432886465,"Higher in FRDA"
"BTN2A2","BTN2A2","ENST00000493275","Control","FRDA",0.019775,0.124,0.104225,0.000403925456448197,"Higher in FRDA"
"ZNF430","ZNF430","ENST00000261560","Control","FRDA",0.814675,0.707375,-0.1073,0.000409918692418086,"Higher in Control"
"KDM5D","KDM5D","ENST00000317961","Control","FRDA",0.312325,0.175975,-0.13635,0.000413607623385185,"Higher in Control"
"MTUS1","MTUS1","ENST00000381861","Control","FRDA",0.511125,0.352525,-0.1586,0.000413607623385185,"Higher in Control"
"PHRF1","PHRF1","ENST00000264555","Control","FRDA",0.7574,0.51395,-0.24345,0.000413607623385185,"Higher in Control"
"CIMAP3","CIMAP3","ENST00000369737","Control","FRDA",0.4608,0.072075,-0.388725,0.00044633946745084,"Higher in Control"
"GIN1","GIN1","ENST00000513747","Control","FRDA",0,0.245275,0.245275,0.000451407639462116,"Higher in FRDA"
"ADGRB3-DT","ADGRB3-DT","ENST00000762060","Control","FRDA",0.005775,0.108125,0.10235,0.000503592640088102,"Higher in FRDA"
"TSC22D4","TSC22D4","ENST00000423266","Control","FRDA",0.406425,0.20765,-0.198775,0.000505972134201708,"Higher in Control"
"CALCOCO1","CALCOCO1","ENST00000430117","Control","FRDA",0.27885,0.170875,-0.107975,0.000539657493536658,"Higher in Control"
"ZNF213","ZNF213","ENST00000576863","Control","FRDA",0.347675,0.178125,-0.16955,0.000560463066099828,"Higher in Control"
"CCDC3","CCDC3","ENST00000378839","Control","FRDA",0.117425,0.5321,0.414675,0.00057000782519437,"Higher in FRDA"
"SLC29A1","SLC29A1","ENST00000371755","Control","FRDA",0.197375,0,-0.197375,0.000574993580761308,"Higher in Control"
"DNM1P35","DNM1P35","ENST00000799366","Control","FRDA",0.414325,0,-0.414325,0.000602121940323414,"Higher in Control"
"GTF2H2","GTF2H2","ENST00000523003","Control","FRDA",0.465525,0.267725,-0.1978,0.000623535385576908,"Higher in Control"
"CHN2","CHN2","ENST00000706164","Control","FRDA",0.07445,0.181175,0.106725,0.00070462357326316,"Higher in FRDA"
"TNS3","TNS3","ENST00000311160","Control","FRDA",0.488875,0.304875,-0.184,0.000709234941938891,"Higher in Control"
"SHANK3","SHANK3","ENST00000262795","Control","FRDA",0.51025,0.712975,0.202725,0.000714844421665203,"Higher in FRDA"
"TRIM66","TRIM66","ENST00000529057","Control","FRDA",0.208725,0,-0.208725,0.000732461959994083,"Higher in Control"
"RUSC2","RUSC2","ENST00000455600","Control","FRDA",0.72305,0.506025,-0.217025,0.000735835998946527,"Higher in Control"
"RPUSD3","RPUSD3","ENST00000433972","Control","FRDA",0.35025,0.1708,-0.17945,0.000766301662669954,"Higher in Control"
"HUNK","HUNK","ENST00000465574","Control","FRDA",0.007325,0.130875,0.12355,0.000772627617161416,"Higher in FRDA"
"ZNF496-DT","ZNF496-DT","ENST00000689922","Control","FRDA",0.815875,0.659,-0.156875,0.000772627617161416,"Higher in Control"
"ENSG00000286125.4",NA,"ENST00000595954","Control","FRDA",0,0.14305,0.14305,0.000779714575983494,"Higher in FRDA"
"CA8","CA8","ENST00000317995","Control","FRDA",0.809825,0.48845,-0.321375,0.000785741939963928,"Higher in Control"
"GCNT2","GCNT2","ENST00000316170","Control","FRDA",0.947625,0.7976,-0.150025,0.000789120520955417,"Higher in Control"
"DIRC3","DIRC3","ENST00000675581","Control","FRDA",0.027775,0.225675,0.1979,0.000830543251284529,"Higher in FRDA"
"GCNT2","GCNT2","ENST00000265012","Control","FRDA",0.0386,0.15125,0.11265,0.000848296861598622,"Higher in FRDA"
"CA8","CA8","ENST00000524872","Control","FRDA",0.150675,0.393475,0.2428,0.000888002538191885,"Higher in FRDA"
