"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"SDSL","SDSL","ENST00000345635","Control","FRDA",0.354966666666667,0,-0.354966666666667,7.15294313007017e-06,"Higher in Control"
"GNE","GNE","ENST00000539208","Control","FRDA",0.173533333333333,0,-0.173533333333333,7.53424977801101e-06,"Higher in Control"
"NEDD1","NEDD1","ENST00000457368","Control","FRDA",0,0.114666666666667,0.114666666666667,8.00812141743433e-06,"Higher in FRDA"
"AMN1","AMN1","ENST00000537960","Control","FRDA",0.4004,0,-0.4004,8.18186763593846e-06,"Higher in Control"
"FHOD3","FHOD3","ENST00000591635","Control","FRDA",0,0.160933333333333,0.160933333333333,8.48487492500019e-06,"Higher in FRDA"
"COQ2","COQ2","ENST00000311469","Control","FRDA",0.187166666666667,0,-0.187166666666667,8.52445724001589e-06,"Higher in Control"
"STAT2","STAT2","ENST00000698192","Control","FRDA",0,0.121066666666667,0.121066666666667,8.52445724001589e-06,"Higher in FRDA"
"TTC14","TTC14","ENST00000470669","Control","FRDA",0,0.149166666666667,0.149166666666667,9.31319853633189e-06,"Higher in FRDA"
"MSI2","MSI2","ENST00000416426","Control","FRDA",0.0704,0.217466666666667,0.147066666666667,9.60440189339196e-06,"Higher in FRDA"
"TOB1","TOB1","ENST00000509385","Control","FRDA",0.209966666666667,0,-0.209966666666667,9.94093634044124e-06,"Higher in Control"
"MTMR10","MTMR10","ENST00000565728","Control","FRDA",0,0.110666666666667,0.110666666666667,9.99119003953275e-06,"Higher in FRDA"
"SNAI3-AS1","SNAI3-AS1","ENST00000847153","Control","FRDA",0,0.176133333333333,0.176133333333333,1.00064008156971e-05,"Higher in FRDA"
"CMBL","CMBL","ENST00000510532","Control","FRDA",0.334633333333333,0,-0.334633333333333,1.10346106094823e-05,"Higher in Control"
"COCH","COCH","ENST00000643575","Control","FRDA",0,0.1641,0.1641,1.23435122175561e-05,"Higher in FRDA"
"WASF3","WASF3","ENST00000335327","Control","FRDA",0.813966666666667,0.641,-0.172966666666667,1.38344579959576e-05,"Higher in Control"
"TTLL5","TTLL5","ENST00000554148","Control","FRDA",0.177933333333333,0,-0.177933333333333,1.49737982036587e-05,"Higher in Control"
"EPHA5","EPHA5","ENST00000432638","Control","FRDA",0.128066666666667,0,-0.128066666666667,1.54984282227429e-05,"Higher in Control"
"ASS1","ASS1","ENST00000372386","Control","FRDA",0.407933333333333,0,-0.407933333333333,1.58394598503632e-05,"Higher in Control"
"ATF3","ATF3","ENST00000613104","Control","FRDA",0.275966666666667,0,-0.275966666666667,1.67283077640488e-05,"Higher in Control"
"CLASRP","CLASRP","ENST00000591410","Control","FRDA",0.1367,0,-0.1367,2.00994179978987e-05,"Higher in Control"
"ENSG00000288637.1",NA,"ENST00000674967","Control","FRDA",0.817933333333333,0,-0.817933333333333,2.02053590056573e-05,"Higher in Control"
"SDSL","SDSL","ENST00000403593","Control","FRDA",0.3884,0.9369,0.5485,2.0763769765886e-05,"Higher in FRDA"
"RUVBL2","RUVBL2","ENST00000596837","Control","FRDA",0.109433333333333,0,-0.109433333333333,2.33043163186412e-05,"Higher in Control"
"PCDHB2","PCDHB2","ENST00000624874","Control","FRDA",0.1197,0,-0.1197,2.43954192562082e-05,"Higher in Control"
"VPS53","VPS53","ENST00000681229","Control","FRDA",0,0.126633333333333,0.126633333333333,2.43954192562082e-05,"Higher in FRDA"
"SLC44A1","SLC44A1","ENST00000374724","Control","FRDA",0.0998666666666667,0.224366666666667,0.1245,2.50933795035021e-05,"Higher in FRDA"
"SSBP3","SSBP3","ENST00000426150","Control","FRDA",0,0.2048,0.2048,2.80725553079985e-05,"Higher in FRDA"
"TP53BP1","TP53BP1","ENST00000263801","Control","FRDA",0.224866666666667,0.3282,0.103333333333333,2.99185948038665e-05,"Higher in FRDA"
"GATAD2B","GATAD2B","ENST00000368655","Control","FRDA",0.6166,0.9545,0.3379,3.48944610652496e-05,"Higher in FRDA"
"CALD1","CALD1","ENST00000361901","Control","FRDA",0.334133333333333,0.499233333333333,0.1651,3.51389654633591e-05,"Higher in FRDA"
