dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_SN_FA1,CAB39L,CAB39L,2,codingPotential; domain_identified,0.15470000000000006,0.017980169888166423
Maddock_SN_FA1,FN1,FN1,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.14828,0.017980169888166423
Maddock_SN_FA1,ZNF619,ZNF619,1,codingPotential,0.25317999999999996,0.0214169296756061
Maddock_SN_FA1,ZNF575,ZNF575,1,codingPotential,0.21004,0.02171359080697384
Maddock_SN_FA1,SYTL2,SYTL2,3,codingPotential; domain_identified; IR,0.12436,0.022528186032600372
Maddock_SN_FA1,ENSG00000260007.3,NA,1,codingPotential,0.12280000000000002,0.022528186032600372
Maddock_SN_FA1,RCC1,RCC1,2,codingPotential; domain_identified,0.11493999999999999,0.023801001982016894
Maddock_SN_FA1,SLFN13,SLFN13,2,codingPotential; PTC,0.19692,0.02380109210992892
Maddock_SN_FA1,KIF17,KIF17,2,codingPotential; domain_identified,0.20912,0.024342698904226058
Maddock_SN_FA1,CDKL3,CDKL3,2,codingPotential; domain_identified,0.42332000000000003,0.026229178690720396
Maddock_SN_FA1,TMEM229B,TMEM229B,2,codingPotential; domain_identified,0.20382,0.027111448066165077
Maddock_SN_FA1,DCPS,DCPS,2,codingPotential; domain_identified,0.2281,0.032936394562862376
Maddock_SN_FA1,RARB,RARB,2,codingPotential; domain_identified,0.21917999999999999,0.033518390084146796
Maddock_SN_FA1,CCDC169,CCDC169,2,codingPotential; domain_identified,0.1792,0.038160605178443406
