"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ENSG00000304011.1",NA,"ENST00000798829","Control","FRDA",0.490933333333333,0,-0.490933333333333,0.00306354230963578,"Higher in Control"
"OCIAD1","OCIAD1","ENST00000513391","Control","FRDA",0.511625,0.393725,-0.1179,0.00306354230963578,"Higher in Control"
"PFN2","PFN2","ENST00000452853","Control","FRDA",0.409325,0.2675,-0.141825,0.00318536326855107,"Higher in Control"
"TGFB2","TGFB2","ENST00000366930","Control","FRDA",0.6446,0.853425,0.208825,0.00319590762253136,"Higher in FRDA"
"NECAB3","NECAB3","ENST00000375238","Control","FRDA",0.1768,0.288325,0.111525,0.00342956353568743,"Higher in FRDA"
"NECTIN3-AS1","NECTIN3-AS1","ENST00000803776","Control","FRDA",0.213475,0.031175,-0.1823,0.00344776340977324,"Higher in Control"
"CD47","CD47","ENST00000361309","Control","FRDA",0.263775,0.516375,0.2526,0.00377876444711704,"Higher in FRDA"
"FXYD1","FXYD1","ENST00000351325","Control","FRDA",0.134775,0,-0.134775,0.00377876444711704,"Higher in Control"
"FER","FER","ENST00000505323","Control","FRDA",0.05595,0.16195,0.106,0.00390925361071341,"Higher in FRDA"
"FLNA","FLNA","ENST00000360319","Control","FRDA",0.352325,0.54645,0.194125,0.00425585931510756,"Higher in FRDA"
"ESPN","ESPN","ENST00000418286","Control","FRDA",0.21365,0.02175,-0.1919,0.00431331572458786,"Higher in Control"
"AP2A1","AP2A1","ENST00000359032","Control","FRDA",0.162925,0.360675,0.19775,0.00435003719436527,"Higher in FRDA"
"TRIM36","TRIM36","ENST00000514154","Control","FRDA",0.257825,0.11665,-0.141175,0.00435003719436527,"Higher in Control"
"NBEAL2","NBEAL2","ENST00000651747","Control","FRDA",0.186125,0.0759,-0.110225,0.00462204252865878,"Higher in Control"
"ENSG00000225889.11",NA,"ENST00000451350","Control","FRDA",0.430525,0.01755,-0.412975,0.00494261076974131,"Higher in Control"
"ENSG00000288823.2",NA,"ENST00000759020","Control","FRDA",0.336625,0,-0.336625,0.00494261076974131,"Higher in Control"
"DCDC1","DCDC1","ENST00000452803","Control","FRDA",0,0.319575,0.319575,0.00499955781078152,"Higher in FRDA"
"HYAL2","HYAL2","ENST00000395139","Control","FRDA",0.39685,0.6626,0.26575,0.00501890270687878,"Higher in FRDA"
"ZNF587B","ZNF587B","ENST00000594901","Control","FRDA",0.557625,0.667525,0.1099,0.00502773420417923,"Higher in FRDA"
"NAPRT","NAPRT","ENST00000498076","Control","FRDA",0.24855,0,-0.24855,0.00505460362794907,"Higher in Control"
"PTGFRN","PTGFRN","ENST00000497385","Control","FRDA",0,0.1319,0.1319,0.00505460362794907,"Higher in FRDA"
"TSC22D1","TSC22D1","ENST00000261489","Control","FRDA",0.301675,0.406,0.104325,0.00505460362794907,"Higher in FRDA"
"DDX18","DDX18","ENST00000474694","Control","FRDA",0.351175,0.237625,-0.11355,0.00520933403146194,"Higher in Control"
"ANK2","ANK2","ENST00000357077","Control","FRDA",0.290525,0.424,0.133475,0.00542008417296711,"Higher in FRDA"
"WWP1","WWP1","ENST00000265428","Control","FRDA",0.686,0.5607,-0.1253,0.00553247060923334,"Higher in Control"
"UAP1","UAP1","ENST00000367925","Control","FRDA",0.15245,0.035025,-0.117425,0.00584503657692884,"Higher in Control"
"ENSG00000239922.3",NA,"ENST00000467198","Control","FRDA",0.026425,0.501825,0.4754,0.00599933211479514,"Higher in FRDA"
"UAP1","UAP1","ENST00000367926","Control","FRDA",0.696925,0.8345,0.137575,0.00606769336438172,"Higher in FRDA"
"GPM6B","GPM6B","ENST00000316715","Control","FRDA",0.200375,0.327725,0.12735,0.00645629420010432,"Higher in FRDA"
"NAV2","NAV2","ENST00000360655","Control","FRDA",0.50215,0.6152,0.11305,0.006777725653319,"Higher in FRDA"
"TMEM104","TMEM104","ENST00000335464","Control","FRDA",0.976375,0.786675,-0.1897,0.00687342528688471,"Higher in Control"
"WNT5B","WNT5B","ENST00000543563","Control","FRDA",0.0154,0.195325,0.179925,0.0069283427085969,"Higher in FRDA"
"PDCD2L","PDCD2L","ENST00000246535","Control","FRDA",0.969675,0.788175,-0.1815,0.00701848272116344,"Higher in Control"
"SCUBE2","SCUBE2","ENST00000649792","Control","FRDA",0.461425,0.3449,-0.116525,0.00738294416842791,"Higher in Control"
"ZNF106","ZNF106","ENST00000263805","Control","FRDA",0.30355,0.07115,-0.2324,0.0074798994068051,"Higher in Control"
"AGRN","AGRN","ENST00000651234","Control","FRDA",0.0118,0.124325,0.112525,0.00770393673345093,"Higher in FRDA"
"SPAG1","SPAG1","ENST00000520508","Control","FRDA",0,0.137225,0.137225,0.00804686247820625,"Higher in FRDA"
"CREB1","CREB1","ENST00000448277","Control","FRDA",0.2144,0.09875,-0.11565,0.00806318447461092,"Higher in Control"
"CHD2","CHD2","ENST00000627622","Control","FRDA",0.1664,0.272775,0.106375,0.00823500654283166,"Higher in FRDA"
"GAL3ST4","GAL3ST4","ENST00000360039","Control","FRDA",0.3366,0.08875,-0.24785,0.00823500654283166,"Higher in Control"
"ARL1","ARL1","ENST00000261636","Control","FRDA",0.566075,0.688,0.121925,0.00833730226305396,"Higher in FRDA"
"RMND5A","RMND5A","ENST00000283632","Control","FRDA",0.85375,0.97925,0.1255,0.00843874873090808,"Higher in FRDA"
"REEP6","REEP6","ENST00000233596","Control","FRDA",0.93075,0.816325,-0.114425,0.00850174446165068,"Higher in Control"
"VPS72","VPS72","ENST00000368892","Control","FRDA",0.837975,0.944275,0.1063,0.00852102833810041,"Higher in FRDA"
"CBR1","CBR1","ENST00000290349","Control","FRDA",0.6965,0.545775,-0.150725,0.00875792305005539,"Higher in Control"
"GRAMD1C","GRAMD1C","ENST00000358160","Control","FRDA",0.807325,0.4984,-0.308925,0.00891600437269887,"Higher in Control"
"SLC35A2","SLC35A2","ENST00000635238","Control","FRDA",0,0.14405,0.14405,0.00891600437269887,"Higher in FRDA"
"ENSG00000273355.3",NA,"ENST00000832909","Control","FRDA",0.3222,0,-0.3222,0.00896297931435109,"Higher in Control"
