gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00057167,ZNF331,ZNF331,Control,FRDA,7.482764336383175e-59,1
geneComp_00033614,EXTL3,EXTL3,Control,FRDA,1.1049587448592496e-40,2
geneComp_00033988,FAM88E,FAM88E,Control,FRDA,8.52570435551505e-30,3
geneComp_00004520,CNTN4,CNTN4,Control,FRDA,2.8220502487578646e-28,4
geneComp_00030655,ENSG00000307088.1,NA,Control,FRDA,1.6634280787446462e-25,5
geneComp_00052259,SNAP25-AS1,SNAP25-AS1,Control,FRDA,3.6319848656866844e-24,6
geneComp_00009489,ENSG00000241860.8,NA,Control,FRDA,1.685016072155571e-23,7
geneComp_00045623,PCDHGA10,PCDHGA10,Control,FRDA,2.4661100309985264e-23,8
geneComp_00002089,BCOR,BCOR,Control,FRDA,3.026347748286136e-22,9
geneComp_00036101,HAUS7,HAUS7,Control,FRDA,4.1342289267949086e-21,10
geneComp_00035710,GRM1,GRM1,Control,FRDA,5.516832877958943e-21,11
geneComp_00006888,ENPP2,ENPP2,Control,FRDA,1.6612392683278758e-18,12
geneComp_00000544,AFDN-DT,AFDN-DT,Control,FRDA,4.0458616828904304e-17,13
geneComp_00004068,CHL1,CHL1,Control,FRDA,1.702127936761211e-16,14
geneComp_00019636,ENSG00000290937.2,NA,Control,FRDA,1.3429197852820795e-15,15
geneComp_00047768,RAB37,RAB37,Control,FRDA,4.241736861057159e-15,16
geneComp_00044210,NRG2,NRG2,Control,FRDA,4.018515413025219e-14,17
geneComp_00046882,PPP1R26-AS1,PPP1R26-AS1,Control,FRDA,3.994764277571492e-12,18
geneComp_00005741,DHRS4L1,DHRS4L1,Control,FRDA,8.859486337421127e-11,19
geneComp_00057364,ZNF571-AS1,ZNF571-AS1,Control,FRDA,1.107006275560523e-10,20
geneComp_00030926,ENSG00000307444.1,NA,Control,FRDA,3.831804864389743e-10,21
geneComp_00039588,LINC01418,LINC01418,Control,FRDA,4.147258448890398e-10,22
geneComp_00047095,PRKAG2,PRKAG2,Control,FRDA,4.4241929040921416e-10,23
geneComp_00046235,PITX2,PITX2,Control,FRDA,5.267117536646915e-10,24
geneComp_00040781,LINC02851,LINC02851,Control,FRDA,9.637940729000917e-10,25
geneComp_00055626,UACA,UACA,Control,FRDA,1.239017949193865e-9,26
geneComp_00054005,TGFA,TGFA,Control,FRDA,6.948854135558623e-7,27
geneComp_00004113,CHRM3,CHRM3,Control,FRDA,1.6384195187556977e-6,28
geneComp_00045588,PCDHA10,PCDHA10,Control,FRDA,9.3042751653839e-6,29
geneComp_00000869,AMN,AMN,Control,FRDA,3.388751846104417e-5,30
geneComp_00053405,SYCP2,SYCP2,Control,FRDA,5.387754670539328e-5,31
geneComp_00054128,TIAM2,TIAM2,Control,FRDA,6.763709972473422e-5,32
geneComp_00033766,FAM157C,FAM157C,Control,FRDA,1.0400571334870739e-4,33
geneComp_00037261,IGSF1,IGSF1,Control,FRDA,1.8002948396158666e-4,34
geneComp_00009843,ENSG00000248994.3,NA,Control,FRDA,1.9034213930450362e-4,35
geneComp_00040170,LINC02151,LINC02151,Control,FRDA,3.088619264125622e-4,36
geneComp_00005742,DHRS4L2,DHRS4L2,Control,FRDA,3.333210859183045e-4,37
geneComp_00009521,ENSG00000242553.3,NA,Control,FRDA,5.502473826591155e-4,38
geneComp_00000336,ACVRL1,ACVRL1,Control,FRDA,6.198612962409982e-4,39
geneComp_00050824,SBNO2,SBNO2,Control,FRDA,6.423754389128072e-4,40
geneComp_00038360,KRT17,KRT17,Control,FRDA,8.473511545585828e-4,41
geneComp_00015608,ENSG00000280018.5,NA,Control,FRDA,0.0011525038775323884,42
geneComp_00033298,ENSG00000310534.1,NA,Control,FRDA,0.0018505177879867424,43
geneComp_00050823,SBNO1-AS1,SBNO1-AS1,Control,FRDA,0.0018505177879867424,44
geneComp_00052084,SLX1A-SULT1A3,SLX1A-SULT1A3,Control,FRDA,0.0020204920157597447,45
geneComp_00000471,ADGRG6,ADGRG6,Control,FRDA,0.002060046816166204,46
geneComp_00057203,ZNF385B,ZNF385B,Control,FRDA,0.0022562303820378676,47
geneComp_00045813,PDLIM2,PDLIM2,Control,FRDA,0.002348186821976035,48
geneComp_00019450,ENSG00000290585.2,NA,Control,FRDA,0.0024126156950025437,49
geneComp_00000923,ANK1,ANK1,Control,FRDA,0.0024322891129500493,50
geneComp_00000111,ABHD14A-ACY1,ABHD14A-ACY1,Control,FRDA,0.0028319428117981795,51
geneComp_00019444,ENSG00000290576.2,NA,Control,FRDA,0.0031184914226066104,52
geneComp_00001088,ANXA2R-OT1,ANXA2R-OT1,Control,FRDA,0.003187135793986811,53
geneComp_00024866,ENSG00000299654.1,NA,Control,FRDA,0.0032852048970493115,54
geneComp_00046268,PKIB,PKIB,Control,FRDA,0.003380882774969443,55
geneComp_00033151,ENSG00000310323.1,NA,Control,FRDA,0.003542826119210901,56
geneComp_00037077,IFITM10,IFITM10,Control,FRDA,0.00354980191939795,57
geneComp_00046734,PPFIA2,PPFIA2,Control,FRDA,0.003818599450073582,58
geneComp_00051683,SLC25A15,SLC25A15,Control,FRDA,0.004266724428841807,59
geneComp_00051561,SLC10A3,SLC10A3,Control,FRDA,0.005048456864051322,60
geneComp_00053179,STK17B,STK17B,Control,FRDA,0.005276634405189285,61
geneComp_00005591,DDX54,DDX54,Control,FRDA,0.005329657312632366,62
geneComp_00048222,RECQL4,RECQL4,Control,FRDA,0.005961345274142271,63
geneComp_00056859,ZDHHC2,ZDHHC2,Control,FRDA,0.005961345274142271,64
geneComp_00055340,TSPO,TSPO,Control,FRDA,0.006092527708562733,65
geneComp_00056481,WFDC21P,WFDC21P,Control,FRDA,0.006397147842699497,66
geneComp_00057321,ZNF528-AS1,ZNF528-AS1,Control,FRDA,0.0064262592214498334,67
geneComp_00056036,USP48,USP48,Control,FRDA,0.006564134360789273,68
geneComp_00035878,GUSBP3,GUSBP3,Control,FRDA,0.0067132967657049765,69
geneComp_00035806,GTF2H2C,GTF2H2C,Control,FRDA,0.007903130341106282,70
geneComp_00033633,F11R,F11R,Control,FRDA,0.008354444394160826,71
geneComp_00004908,CRYAB,CRYAB,Control,FRDA,0.008902269748886462,72
geneComp_00000433,ADCY7,ADCY7,Control,FRDA,0.009098201720072382,73
geneComp_00018939,ENSG00000289511.2,NA,Control,FRDA,0.009098201720072382,74
geneComp_00002536,C16orf87,C16orf87,Control,FRDA,0.010925100603356988,75
geneComp_00043224,MYO1E,MYO1E,Control,FRDA,0.011751889475338126,76
geneComp_00054215,TLK2,TLK2,Control,FRDA,0.011911980839411333,77
geneComp_00043804,NHSL1-AS1,NHSL1-AS1,Control,FRDA,0.012490538246324194,78
geneComp_00025252,ENSG00000300150.1,NA,Control,FRDA,0.012606744165008876,79
geneComp_00057558,ZNF781,ZNF781,Control,FRDA,0.012901191332607786,80
geneComp_00001023,ANKRD49,ANKRD49,Control,FRDA,0.013262508229847257,81
geneComp_00034491,FOLR1,FOLR1,Control,FRDA,0.014663600065283895,82
geneComp_00041063,LMCD1,LMCD1,Control,FRDA,0.015085032562128868,83
geneComp_00002397,BTBD19,BTBD19,Control,FRDA,0.016413344202846653,84
geneComp_00045783,PDGFB,PDGFB,Control,FRDA,0.01662833234509094,85
geneComp_00033044,ENSG00000310190.1,NA,Control,FRDA,0.017392646139977003,86
geneComp_00037866,KCNAB2,KCNAB2,Control,FRDA,0.017392646139977003,87
geneComp_00002812,CAB39L,CAB39L,Control,FRDA,0.017980169888166423,88
geneComp_00034461,FN1,FN1,Control,FRDA,0.017980169888166423,89
geneComp_00039168,LINC00616,LINC00616,Control,FRDA,0.019591066297071334,90
