"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"LRRC45","LRRC45","ENST00000581227","Control","FRDA",0.127666666666667,0.0115666666666667,-0.1161,0.00847243958868138,"Higher in Control"
"AP2A1","AP2A1","ENST00000359032","Control","FRDA",0.5445,0.406,-0.1385,0.00847859883113252,"Higher in Control"
"RAB30-DT","RAB30-DT","ENST00000752563","Control","FRDA",0.148633333333333,0.375666666666667,0.227033333333333,0.00864129215984297,"Higher in FRDA"
"SDC1","SDC1","ENST00000254351","Control","FRDA",0.986966666666667,0.636666666666667,-0.3503,0.00867698759524286,"Higher in Control"
"CACNA1D","CACNA1D","ENST00000637844","Control","FRDA",0.227133333333333,0,-0.227133333333333,0.00869636405214589,"Higher in Control"
"OXR1","OXR1","ENST00000449762","Control","FRDA",0.203833333333333,0.0483,-0.155533333333333,0.00875737498376814,"Higher in Control"
"ZNF550","ZNF550","ENST00000699333","Control","FRDA",0.317733333333333,0.1456,-0.172133333333333,0.00876972303248975,"Higher in Control"
"RAB11FIP2","RAB11FIP2","ENST00000369199","Control","FRDA",0.392933333333333,0.1117,-0.281233333333333,0.00896095861003074,"Higher in Control"
"MIR133A1HG","MIR133A1HG","ENST00000577659","Control","FRDA",0.1735,0.331033333333333,0.157533333333333,0.00910517544481608,"Higher in FRDA"
"RGS12","RGS12","ENST00000382788","Control","FRDA",0.372533333333333,0.195333333333333,-0.1772,0.00914162616408756,"Higher in Control"
"SLC16A14","SLC16A14","ENST00000295190","Control","FRDA",0.833,0.440866666666667,-0.392133333333333,0.00918797007015008,"Higher in Control"
"TXNRD2","TXNRD2","ENST00000400521","Control","FRDA",0.774733333333333,0.3443,-0.430433333333333,0.00921416397189034,"Higher in Control"
"COL8A1","COL8A1","ENST00000621757","Control","FRDA",0.1098,0.00886666666666667,-0.100933333333333,0.00922639618922343,"Higher in Control"
"PNP","PNP","ENST00000361505","Control","FRDA",0.934066666666667,0.831433333333333,-0.102633333333333,0.00924630901968065,"Higher in Control"
