dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_223,NFASC,NFASC,3,codingPotential; domain_identified; signal_peptide_identified,0.10749999999999998,1.5866632210384242e-4
Mishra_223,KCND3,KCND3,2,codingPotential; domain_identified,0.388825,1.6230340103489814e-4
Mishra_223,RBM17,RBM17,1,codingPotential,0.12415,1.644646115657626e-4
Mishra_223,SPTBN4,SPTBN4,3,codingPotential; domain_identified; IR,0.21559999999999999,1.8618725889773158e-4
Mishra_223,CFAP298,CFAP298,3,codingPotential; domain_identified; IR,0.13325,1.901578541914244e-4
Mishra_223,TIAM2,TIAM2,2,codingPotential; domain_identified,0.213875,1.9346949463060583e-4
Mishra_223,SEPTIN9,SEPTIN9,2,codingPotential; domain_identified,0.10247499999999998,2.0225133654122495e-4
Mishra_223,NKRF,NKRF,3,codingPotential; domain_identified; IR,0.17525000000000002,2.141842105074654e-4
Mishra_223,ENSG00000255339.6,NA,3,codingPotential; domain_identified; PTC,0.30685,2.2137227024750393e-4
Mishra_223,RUSC2,RUSC2,1,codingPotential,0.23982499999999998,2.241318755481383e-4
Mishra_223,PFKFB3,PFKFB3,2,codingPotential; domain_identified,0.13515,2.2504640554636904e-4
Mishra_223,UNC5C,UNC5C,3,codingPotential; domain_identified; signal_peptide_identified,0.174825,2.270067673064081e-4
Mishra_223,PICK1,PICK1,3,codingPotential; domain_identified; IR,0.2069,2.434321377674932e-4
Mishra_223,C1orf52,C1orf52,1,codingPotential,0.107625,2.657193717204877e-4
Mishra_223,ZFYVE1,ZFYVE1,3,codingPotential; domain_identified; IR,0.20627500000000004,2.664153852919712e-4
Mishra_223,RRP1,RRP1,2,codingPotential; domain_identified,0.21167499999999995,3.165074569613705e-4
Mishra_223,GASK1B,GASK1B,2,codingPotential; domain_identified,0.33985,3.268570512054548e-4
Mishra_223,CCDC3,CCDC3,2,codingPotential; signal_peptide_identified,0.414675,3.316532297146969e-4
Mishra_223,LAT,LAT,2,codingPotential; domain_identified,0.37692500000000007,3.631227625554288e-4
Mishra_223,DNM1,DNM1,3,codingPotential; domain_identified; IR,0.14220000000000002,3.6956758756257233e-4
Mishra_223,CACNA2D1,CACNA2D1,3,codingPotential; domain_identified; signal_peptide_identified,0.10215000000000007,3.7574824502828826e-4
Mishra_223,SRPK2,SRPK2,3,codingPotential; domain_identified; IR,0.27349999999999997,3.870863482242536e-4
Mishra_223,ERC2,ERC2,3,codingPotential; domain_identified; PTC,0.14697500000000002,3.997474328864653e-4
Mishra_223,BTN2A2,BTN2A2,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.104225,4.0392545644819746e-4
Mishra_223,ZNF430,ZNF430,3,codingPotential; domain_identified; IR,0.10730000000000006,4.099186924180863e-4
Mishra_223,PHRF1,PHRF1,2,codingPotential; domain_identified,0.24344999999999994,4.13607623385185e-4
Mishra_223,KDM5D,KDM5D,2,codingPotential; domain_identified,0.13635000000000003,4.13607623385185e-4
Mishra_223,CIMAP3,CIMAP3,1,codingPotential,0.41017500000000007,4.463394674508404e-4
Mishra_223,GIN1,GIN1,3,codingPotential; domain_identified; PTC,0.245275,4.514076394621157e-4
Mishra_223,ADGRB3-DT,ADGRB3-DT,1,IR,0.10235,5.03592640088102e-4
Mishra_223,TSC22D4,TSC22D4,2,codingPotential; domain_identified,0.19877500000000003,5.059721342017081e-4
Mishra_223,CALCOCO1,CALCOCO1,2,codingPotential; domain_identified,0.10797499999999999,5.396574935366577e-4
Mishra_223,LSM1,LSM1,2,codingPotential; domain_identified,0.11929999999999996,5.424684968142304e-4
Mishra_223,ZNF213,ZNF213,4,codingPotential; domain_identified; IR; PTC,0.25115,5.604630660998275e-4
Mishra_223,SLC29A1,SLC29A1,2,codingPotential; domain_identified,0.197375,5.749935807613076e-4
Mishra_223,DNM1P35,DNM1P35,1,codingPotential,0.12139999999999998,6.021219403234145e-4
Mishra_223,GTF2H2,GTF2H2,1,codingPotential,0.19780000000000003,6.235353855769082e-4
Mishra_223,TNS3,TNS3,2,codingPotential; domain_identified,0.184,7.092349419388907e-4
Mishra_223,SHANK3,SHANK3,2,codingPotential; domain_identified,0.20272499999999993,7.148444216652027e-4
Mishra_223,TRIM66,TRIM66,1,codingPotential,0.208725,7.324619599940827e-4
Mishra_223,RPUSD3,RPUSD3,1,codingPotential,0.17945,7.663016626699541e-4
Mishra_223,HUNK,HUNK,1,codingPotential,0.12355000000000002,7.726276171614158e-4
Mishra_223,CA8,CA8,2,codingPotential; domain_identified,0.321375,7.857419399639275e-4
Mishra_223,GCNT2,GCNT2,2,codingPotential; domain_identified,0.15002499999999996,7.891205209554174e-4
Mishra_223,DIRC3,DIRC3,1,IR,0.45500000000000007,8.305432512845291e-4
Mishra_223,KAT6B,KAT6B,2,codingPotential; domain_identified,0.11960000000000001,8.874552682852299e-4
Mishra_223,DNAJC6,DNAJC6,2,codingPotential; domain_identified,0.27305,9.772536804134838e-4
Mishra_223,RNF166,RNF166,2,codingPotential; domain_identified,0.16269999999999996,9.91525953380725e-4
Mishra_223,USE1,USE1,2,codingPotential; domain_identified,0.10805,9.91525953380725e-4
