"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"WNT10B","WNT10B","ENST00000301061","Control","FRDA",0.93395,0.81565,-0.1183,0.029934312321597,"Higher in Control"
"C4B","C4B","ENST00000468936","Control","FRDA",0.0107,0.1403,0.1296,0.0301090003082998,"Higher in FRDA"
"FAM193B","FAM193B","ENST00000504130","Control","FRDA",0.050325,0.222925,0.1726,0.0301510085897896,"Higher in FRDA"
"PORCN","PORCN","ENST00000528612","Control","FRDA",0,0.1873,0.1873,0.0301510085897896,"Higher in FRDA"
"WHRN","WHRN","ENST00000699485","Control","FRDA",0,0.111775,0.111775,0.0301510085897896,"Higher in FRDA"
"TMEM132E","TMEM132E","ENST00000321639","Control","FRDA",0.424075,0.2665,-0.157575,0.0302115403150763,"Higher in Control"
"MRPS25","MRPS25","ENST00000695383","Control","FRDA",0.067475,0.294175,0.2267,0.0305411546375937,"Higher in FRDA"
"MAFK","MAFK","ENST00000403150","Control","FRDA",0.123375,0.22595,0.102575,0.0305703243934898,"Higher in FRDA"
"ZNF276","ZNF276","ENST00000443381","Control","FRDA",0.24185,0.125075,-0.116775,0.0306335783154213,"Higher in Control"
"TAFA5","TAFA5","ENST00000358295","Control","FRDA",0.57265,0.433625,-0.139025,0.0306959136521802,"Higher in Control"
"TMEM106C","TMEM106C","ENST00000256686","Control","FRDA",0.26005,0.13085,-0.1292,0.0308564938728413,"Higher in Control"
"TMEM79","TMEM79","ENST00000405535","Control","FRDA",0,0.237625,0.237625,0.0310847176925884,"Higher in FRDA"
"WTAPP1","WTAPP1","ENST00000371455","Control","FRDA",0.148475,0.0215,-0.126975,0.031094978650715,"Higher in Control"
"FHIP1B","FHIP1B","ENST00000449352","Control","FRDA",0.4032,0.260675,-0.142525,0.0315175102271925,"Higher in Control"
"LOXL3","LOXL3","ENST00000264094","Control","FRDA",0.19755,0.09195,-0.1056,0.0315998062587744,"Higher in Control"
"TP53TG1","TP53TG1","ENST00000359941","Control","FRDA",0.1175,0,-0.1175,0.0316300331222247,"Higher in Control"
"SCAMP1-AS1","SCAMP1-AS1","ENST00000421004","Control","FRDA",0.478025,0.093825,-0.3842,0.031644761706949,"Higher in Control"
"KLK6","KLK6","ENST00000310157","Control","FRDA",0.437775,0.06035,-0.377425,0.0318222395804287,"Higher in Control"
"GLCCI1","GLCCI1","ENST00000470583","Control","FRDA",0,0.13625,0.13625,0.0321386993986368,"Higher in FRDA"
"ZNF20","ZNF20","ENST00000478942","Control","FRDA",0.1671,0.039725,-0.127375,0.0321386993986368,"Higher in Control"
"PPM1F","PPM1F","ENST00000445205","Control","FRDA",0.16875,0,-0.16875,0.0322834801094613,"Higher in Control"
"ENSG00000290830.1",NA,"ENST00000484974","Control","FRDA",0.479625,1,0.520375,0.0325531794845555,"Higher in FRDA"
"CAPG","CAPG","ENST00000409724","Control","FRDA",0.22345,0.3327,0.10925,0.0326274588773398,"Higher in FRDA"
"BCAS3","BCAS3","ENST00000588874","Control","FRDA",0.27905,0.38495,0.1059,0.0330077702166784,"Higher in FRDA"
"GPR108","GPR108","ENST00000430424","Control","FRDA",0.223525,0.0914,-0.132125,0.0330077702166784,"Higher in Control"
"C16orf46","C16orf46","ENST00000299578","Control","FRDA",0.1817,0.036525,-0.145175,0.0330226030565521,"Higher in Control"
"GOT1-DT","GOT1-DT","ENST00000652903","Control","FRDA",0,0.162325,0.162325,0.0331793321966735,"Higher in FRDA"
"METTL8","METTL8","ENST00000442778","Control","FRDA",0.176,0,-0.176,0.0335404432338314,"Higher in Control"
"KIF11","KIF11","ENST00000676757","Control","FRDA",0.113425,0.2568,0.143375,0.0339232558590718,"Higher in FRDA"
"TUBA4A","TUBA4A","ENST00000498660","Control","FRDA",0,0.4026,0.4026,0.0339232558590718,"Higher in FRDA"
"ENSG00000289393.2",NA,"ENST00000687687","Control","FRDA",0.44715,0.647325,0.200175,0.0339375455121818,"Higher in FRDA"
"CLSPN","CLSPN","ENST00000466308","Control","FRDA",0.1719,0.044925,-0.126975,0.0340196026152067,"Higher in Control"
"C7orf50","C7orf50","ENST00000412051","Control","FRDA",0.189,0.3492,0.1602,0.0342709299540781,"Higher in FRDA"
