gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00006663,ENSG00000232828.2,NA,Control,FRDA,0.010695344848253944,173
geneComp_00031090,RBFOX1,RBFOX1,Control,FRDA,0.010893147637384443,174
geneComp_00033327,SERPINF1,SERPINF1,Control,FRDA,0.011132426918513193,175
geneComp_00028308,NUDT5,NUDT5,Control,FRDA,0.01212968676057933,176
geneComp_00038388,ZNF385A,ZNF385A,Control,FRDA,0.01233792606468973,177
geneComp_00031436,RIMS2,RIMS2,Control,FRDA,0.013111299809060133,178
geneComp_00030740,PWRN1,PWRN1,Control,FRDA,0.013517848603113681,179
geneComp_00023472,KATNAL2,KATNAL2,Control,FRDA,0.013550390149242017,180
geneComp_00021862,GRK4,GRK4,Control,FRDA,0.01374841522533453,181
geneComp_00029889,POLD4,POLD4,Control,FRDA,0.01407348449614663,182
geneComp_00020827,FMNL1,FMNL1,Control,FRDA,0.014756117250491857,183
geneComp_00022838,HYAL3,HYAL3,Control,FRDA,0.014766983692331885,184
geneComp_00020570,FBXL7,FBXL7,Control,FRDA,0.01543628779059981,185
geneComp_00028071,NPIPB6,NPIPB6,Control,FRDA,0.015690174976361455,186
geneComp_00035526,TCF4,TCF4,Control,FRDA,0.015703534132994357,187
geneComp_00004497,DBP,DBP,Control,FRDA,0.016049131777231284,188
geneComp_00027666,NDUFC1,NDUFC1,Control,FRDA,0.016059071449132406,189
geneComp_00001427,ATG4D,ATG4D,Control,FRDA,0.016156951914035367,190
geneComp_00021471,GLIPR1,GLIPR1,Control,FRDA,0.01639800098846556,191
geneComp_00020141,EXD3,EXD3,Control,FRDA,0.016532000230880587,192
geneComp_00007172,ENSG00000244701.2,NA,Control,FRDA,0.017217364717878953,193
geneComp_00034554,SPAG4,SPAG4,Control,FRDA,0.017217364717878953,194
geneComp_00003344,CFL2,CFL2,Control,FRDA,0.017276360175006295,195
geneComp_00005624,ELMO1,ELMO1,Control,FRDA,0.017606965999318533,196
geneComp_00029706,PLEKHA1,PLEKHA1,Control,FRDA,0.017617779964140105,197
geneComp_00004996,DNASE1L1,DNASE1L1,Control,FRDA,0.017832713707978173,198
geneComp_00034039,SLF1,SLF1,Control,FRDA,0.018232275990824838,199
geneComp_00000169,ACHE,ACHE,Control,FRDA,0.01938735429925246,200
geneComp_00036051,TMEM178A,TMEM178A,Control,FRDA,0.01938735429925246,201
geneComp_00002054,BTG1-DT,BTG1-DT,Control,FRDA,0.01947740079203766,202
geneComp_00004446,DACH1,DACH1,Control,FRDA,0.019596478045278778,203
geneComp_00001068,ARB2A,ARB2A,Control,FRDA,0.01969271539718509,204
geneComp_00021117,GABRD,GABRD,Control,FRDA,0.020237352309798277,205
geneComp_00004079,CRMA,CRMA,Control,FRDA,0.02027321437838968,206
geneComp_00022650,HPAT5,HPAT5,Control,FRDA,0.0207667404671362,207
geneComp_00023665,KEAP1,KEAP1,Control,FRDA,0.021428034613092093,208
geneComp_00035256,SYTL2,SYTL2,Control,FRDA,0.022111452315858947,209
geneComp_00004148,CSNK1A1,CSNK1A1,Control,FRDA,0.022574625955093137,210
geneComp_00021001,FSTL3,FSTL3,Control,FRDA,0.022627119705111595,211
geneComp_00022357,HILPDA,HILPDA,Control,FRDA,0.023566632320080775,212
geneComp_00017632,ENSG00000303910.1,NA,Control,FRDA,0.023614246442193287,213
geneComp_00026738,MMP25-AS1,MMP25-AS1,Control,FRDA,0.023761668015872765,214
geneComp_00021988,GUF1,GUF1,Control,FRDA,0.024317226870189133,215
geneComp_00025291,LINC02610,LINC02610,Control,FRDA,0.024923723142033227,216
geneComp_00033813,SLC2A3,SLC2A3,Control,FRDA,0.025320961722029977,217
geneComp_00020616,FBXW2,FBXW2,Control,FRDA,0.026654253260797418,218
geneComp_00021305,GCNT1,GCNT1,Control,FRDA,0.027141220099650334,219
geneComp_00029312,PFKFB3,PFKFB3,Control,FRDA,0.027210370718543948,220
geneComp_00000934,ANXA4,ANXA4,Control,FRDA,0.027490843465965024,221
geneComp_00022899,IER3IP1,IER3IP1,Control,FRDA,0.027490843465965024,222
geneComp_00012659,ENSG00000288759.3,NA,Control,FRDA,0.027640010307252202,223
geneComp_00033425,SGK1,SGK1,Control,FRDA,0.02820940321959228,224
geneComp_00024786,LINC01569,LINC01569,Control,FRDA,0.02878760455022146,225
geneComp_00023545,KCNJ11,KCNJ11,Control,FRDA,0.02932025553815744,226
geneComp_00033939,SLC4A4,SLC4A4,Control,FRDA,0.02932025553815744,227
geneComp_00003606,CLEC16A,CLEC16A,Control,FRDA,0.029349283716520163,228
geneComp_00029762,PLPP1,PLPP1,Control,FRDA,0.029349283716520163,229
geneComp_00037046,UBAP1,UBAP1,Control,FRDA,0.029349283716520163,230
geneComp_00023774,KIT,KIT,Control,FRDA,0.029473685840532816,231
geneComp_00030993,RAP1A,RAP1A,Control,FRDA,0.029584117177932783,232
geneComp_00023400,JAKMIP3,JAKMIP3,Control,FRDA,0.029774287348549824,233
geneComp_00026509,MGST1,MGST1,Control,FRDA,0.029977500045313216,234
geneComp_00027986,NOMO3,NOMO3,Control,FRDA,0.031085944373651444,235
geneComp_00037128,UBL7-DT,UBL7-DT,Control,FRDA,0.031105000733401438,236
geneComp_00005080,DPP3-DT,DPP3-DT,Control,FRDA,0.03317657610966398,237
