dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_NCC_FA2,SPIRE1,SPIRE1,2,codingPotential; domain_identified,0.2288,6.683467636216731e-7
Maddock_NCC_FA2,MED12,MED12,3,codingPotential; domain_identified; IR,0.14265000000000003,7.003237065612727e-7
Maddock_NCC_FA2,CASZ1,CASZ1,2,codingPotential; IR,0.299525,9.254829996358738e-7
Maddock_NCC_FA2,TMEM147-AS1,TMEM147-AS1,1,IR,0.14609999999999998,3.857948414630781e-6
Maddock_NCC_FA2,SCRN2,SCRN2,2,codingPotential; domain_identified,0.11402499999999999,1.4637136048717458e-5
Maddock_NCC_FA2,SLC4A2,SLC4A2,2,codingPotential; domain_identified,0.17525000000000007,2.446748243436442e-5
Maddock_NCC_FA2,SNHG6,SNHG6,1,IR,0.10060000000000002,2.9025492050011952e-5
Maddock_NCC_FA2,NUDT14,NUDT14,1,codingPotential,0.16092499999999998,3.086213645884373e-5
Maddock_NCC_FA2,SPECC1,SPECC1,1,codingPotential,0.133525,3.086213645884373e-5
Maddock_NCC_FA2,TAF1C,TAF1C,2,codingPotential; domain_identified,0.10192500000000002,3.6081039622976614e-5
Maddock_NCC_FA2,GALE,GALE,3,codingPotential; domain_identified; IR,0.14964999999999995,4.2778735831223674e-5
Maddock_NCC_FA2,BBIP1,BBIP1,1,domain_identified,0.13087499999999996,5.048589339543701e-5
Maddock_NCC_FA2,GEM,GEM,2,codingPotential; domain_identified,0.29574999999999996,5.77951443191952e-5
Maddock_NCC_FA2,GMPPB,GMPPB,3,codingPotential; domain_identified; IR,0.1335749999999999,6.177993306747748e-5
Maddock_NCC_FA2,BCL11A,BCL11A,2,codingPotential; domain_identified,0.1406,8.314228986973492e-5
Maddock_NCC_FA2,MYO7A,MYO7A,2,codingPotential; domain_identified,0.11752499999999999,8.314228986973492e-5
Maddock_NCC_FA2,AMPD2,AMPD2,2,codingPotential; domain_identified,0.14177499999999998,8.73928534247981e-5
Maddock_NCC_FA2,TAFA5,TAFA5,2,codingPotential; domain_identified,0.26125,9.37338160077706e-5
Maddock_NCC_FA2,PPFIBP2,PPFIBP2,3,codingPotential; domain_identified; IR,0.1679,9.811825602930766e-5
Maddock_NCC_FA2,ARHGEF25,ARHGEF25,2,codingPotential; domain_identified,0.16152500000000003,1.1126935466385417e-4
Maddock_NCC_FA2,TFPI,TFPI,3,codingPotential; domain_identified; signal_peptide_identified,0.39912500000000006,1.594358064546008e-4
Maddock_NCC_FA2,CYTH1,CYTH1,2,codingPotential; domain_identified,0.19555,1.6002076942368853e-4
Maddock_NCC_FA2,DPYSL3,DPYSL3,2,codingPotential; domain_identified,0.17662500000000003,1.863602566278425e-4
Maddock_NCC_FA2,RNASEH1-DT,RNASEH1-DT,1,IR,0.176725,1.9975041350159495e-4
Maddock_NCC_FA2,SMTNL2,SMTNL2,2,codingPotential; domain_identified,0.26099999999999995,2.1499615259288238e-4
Maddock_NCC_FA2,BCOR,BCOR,1,codingPotential,0.102775,2.2423106967679212e-4
Maddock_NCC_FA2,PPIEL,PPIEL,2,codingPotential; IR,0.19174999999999998,2.5212564676667967e-4
Maddock_NCC_FA2,RAI14,RAI14,2,codingPotential; domain_identified,0.10670000000000002,2.5769702527247474e-4
Maddock_NCC_FA2,LIMS2,LIMS2,2,codingPotential; PTC,0.119525,2.9741244526233876e-4
Maddock_NCC_FA2,TNS3,TNS3,2,codingPotential; domain_identified,0.12524999999999997,2.9765527899833677e-4
Maddock_NCC_FA2,CCDC51,CCDC51,2,codingPotential; IR,0.139425,3.1806293054503564e-4
Maddock_NCC_FA2,ABCA2,ABCA2,2,codingPotential; domain_identified,0.16617499999999996,3.233061909549153e-4
Maddock_NCC_FA2,MSANTD3,MSANTD3,2,codingPotential; domain_identified,0.13837499999999997,3.401278051964799e-4
Maddock_NCC_FA2,ESYT2,ESYT2,2,codingPotential; domain_identified,0.1915,3.719199179734441e-4
Maddock_NCC_FA2,HIVEP1,HIVEP1,2,codingPotential; domain_identified,0.16522499999999998,3.9504665050171627e-4
Maddock_NCC_FA2,KDM6A,KDM6A,2,codingPotential; IR,0.13820000000000002,4.278404868484044e-4
Maddock_NCC_FA2,CCDC82,CCDC82,3,codingPotential; domain_identified; IR,0.15089999999999998,4.375623882037965e-4
Maddock_NCC_FA2,NOL4L,NOL4L,2,codingPotential; domain_identified,0.29494999999999993,4.4191965929282415e-4
Maddock_NCC_FA2,ARHGAP11B-DT,ARHGAP11B-DT,1,IR,0.16847499999999999,5.981590664661986e-4
Maddock_NCC_FA2,LRRC32,LRRC32,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.19904999999999995,6.38392597997634e-4
Maddock_NCC_FA2,CABIN1,CABIN1,2,codingPotential; IR,0.1448750000000001,6.452087158516396e-4
Maddock_NCC_FA2,LINC00648,LINC00648,1,IR,0.11034999999999995,6.612149652460097e-4
Maddock_NCC_FA2,TMEM126B,TMEM126B,3,codingPotential; domain_identified; PTC,0.18685000000000002,6.855695489952014e-4
Maddock_NCC_FA2,GADD45A,GADD45A,2,codingPotential; domain_identified,0.13735000000000003,7.146419671460201e-4
Maddock_NCC_FA2,ARHGEF19,ARHGEF19,2,codingPotential; domain_identified,0.22357499999999997,9.110631310898952e-4
